avaliacao_key,id_avaliacao,id_pedido,data_key,data_avaliacao,ano,cliente_key,produto_key,nota,comentario,avaliacao_positiva,quantidade_avaliacoes,cliente_sk,produto_sk,_gold_record_hash,_gold_airflow_run_id,_gold_processed_at
13393,13393,2264,20250409,2025-04-09,2025,14835,5857,1,"Não recomendo, produto diferente do anunciado.",False,1,b9ac1c7f01afbbb9fd4880ba1c175ff2e581ef656a712b0cb13859d0fe7815da,a1c5070ed74240720b52beb31837ee13a543fb1ee14704aac52d2ad28af58ed9,7bdc63455350356818accd1538bb60488f2f4432d2511249152482ff42e7b84a,manual_run_1,2026-06-24 01:00:31.919
14020,14020,4409,20250207,2025-02-07,2025,4967,4416,5,Comprei e já quero comprar de novo. Perfeito!,True,1,eb6762eaf2ba39732ac6ce6ef0c57b84b3cd9e2c01081cd65aabfd7b0c146b54,6545bf69f61e0d17e8f63d4bd57a50cecb402337cdc25212ec7a52168e2f2fbd,42f244c688fe1ba72642f8c513e97503109ef0bb3083f1f91ef50ff7ac50f839,manual_run_1,2026-06-24 01:00:31.919
14720,14720,3983,20251003,2025-10-03,2025,2505,10144,2,"Não recomendo, produto diferente do anunciado.",False,1,0eff93b36d67ea71dbfcb43e840e8022038e7954f5beff78ca54fb841406d342,1a9e9fef86495ef17d5de1ef35d4089a806e1ad2f5f82ccb107efb65c9bfdad7,398e4661965038ef1fc949a50fb631c1c5fdfee7c17427fdcad168c53d8d4433,manual_run_1,2026-06-24 01:00:31.919
1642,1642,6773,20250904,2025-09-04,2025,8116,1009,2,"Péssima experiência, não voltarei a comprar.",False,1,97f1a65d36f528c250c1d9b272787c06888a55db7a84a9a362b9ced48a271801,a4fa6f6187240fd5c43941c4af3729d6b0faa470b0448dedaf310c4756338a7b,d4301278e06ddd4201d24344ee5dbba4196ee7c9a9408cc27ffffb2a94458c24,manual_run_1,2026-06-24 01:00:31.919
2288,2288,9691,20250408,2025-04-08,2025,255,6776,4,"Produto conforme descrito, embalagem perfeita.",True,1,d695a972f028a51cfc5039d4a0923f3291555aa82581ec15aa3248fd69c223bd,d73e2500ff39cc7ca58a8646c49aa37a6209b3d02375bd7eaac951f0e0cd2748,a7959da033a1af03289bb224229a7b4853b6767fc75962ec85ff52a0e7c4b11d,manual_run_1,2026-06-24 01:00:31.919
2329,2329,11962,20250421,2025-04-21,2025,2623,1180,5,"Ótimo custo-benefício, chegou antes do prazo.",True,1,efe0338baf125d65c1420dd1b784d82da9be83a9bfd3dfe25516f80ee813fdc7,ae2283b10d4b8dac15e0dcefce456759b1a8c44b2c1dd11e93b3364b832e9c00,e26ccba1fd52b86576e908fe4bf03850e417d31fcd9f3e24536db38f3ca9eb00,manual_run_1,2026-06-24 01:00:31.919
3642,3642,8976,20250715,2025-07-15,2025,3675,10229,4,"Ótimo custo-benefício, chegou antes do prazo.",True,1,8d26f7800daa7a2f0940dcd473299931cf388900e873028c06f184be264a7643,1a354de0f1a08c20c1d6e55b7a3962b044f1b741835913b19ce87b047b3d647e,334b99c85204bab8904a2a8a646778675c5530366df4d066841d5cf6063d78cb,manual_run_1,2026-06-24 01:00:31.919
365,365,14996,20250211,2025-02-11,2025,6331,3655,2,Demorou muito para chegar e veio errado.,False,1,84b356ef8421cfef81ddc961798457c8f56d9b5fea6339b8709a554291be894e,7dc0bd814587659b8d38f90ebfc69513dc180137f9786b1f5c40f39545c42ac4,84dc81e5a6f1e0bd57506f7a210cb8c36974a123c8d8af073b485b16ebdfb42b,manual_run_1,2026-06-24 01:00:31.919
389,389,944,20251115,2025-11-15,2025,6171,12385,4,Atendimento incrível e produto top!,True,1,e458ffd6fadb5fb2ee7bb203e1b76a236e67dfbc7957807d14f0823530937b58,b619ce30799ed2ee2725e978a5d7e59d1b65d18cc8ea2af667042b6c2f189ee3,5d76898029dda707f614fcbba53f7009638e848da2e7612a61d9f5296c9f0ba9,manual_run_1,2026-06-24 01:00:31.919
4147,4147,8297,20250526,2025-05-26,2025,265,10631,5,"Produto excelente, superou minhas expectativas!",True,1,8222cfa5a507adacfa893ede8d1eca0d276bb715c8393dfc0b9409f002884518,8abff38eed28d840a29b528386e883423919e13b0115685d4737e2b09fba247d,41bbe829a1d06aaa590257f713f4c4b370e80fae075064783ef2eb3880a0806b,manual_run_1,2026-06-24 01:00:31.919
425,425,11685,20250806,2025-08-06,2025,2825,2203,2,"Produto com defeito, decepcionante.",False,1,bc09dc84330186b42bd85ebc50cb4d4be197d789d1cb2476c28fc3849d3dc444,91d59f2c64ee331dbd0a8626c189df6ec22083dbeacecc937d1a6005eb772ef8,14885a5e48b94d8d18c14d56576615c59ca45e57b80f473cd6e8c7894386da0d,manual_run_1,2026-06-24 01:00:31.919
4510,4510,10135,20250605,2025-06-05,2025,12520,12100,5,Comprei e já quero comprar de novo. Perfeito!,True,1,5ecb017a609a3338106226814958bbcc486c253c21e8b08daf50c5bf7b292003,5313a095ad47cc396c3418dc3947624a4afe4ac5444246cf45bca9f07b5f1aef,047e028ff037051085dac80b9f72a5646d3d9506c3deedf2597e2103c0177f91,manual_run_1,2026-06-24 01:00:31.919
4834,4834,12101,20251109,2025-11-09,2025,1333,8253,5,"Produto excelente, superou minhas expectativas!",True,1,3d5013e6c277dc0a6d794afe3be8d247e167aa0647633305a2eb1bbd38be8d2f,4d9f4c32ddc7b408b8c5ea979a05c95d87dbb5de17db124667f0ea0a45baa7fd,e33a429533e572d8dea037e671dabe5afc7dd7de0874219d1936ffb9c8d77b84,manual_run_1,2026-06-24 01:00:31.919
6653,6653,3251,20250807,2025-08-07,2025,7170,6290,5,Entrega rápida e produto de ótima qualidade.,True,1,ffb75370bf72806ec9bb169ed36888c5826f34a8261a1cda85415991105a5659,f06e93110d62de64b0aba4984e51dc3d856b3e3209b85cda8b316775556ad6fe,b778665fc79f155af74e87133803c0330cd625e821f4e91c8ecd38c5eae6361b,manual_run_1,2026-06-24 01:00:31.919
789,789,1042,20250807,2025-08-07,2025,12310,7935,5,"Muito satisfeito com a compra, recomendo!",True,1,37c023ecebadee03869e17c0f071d3c19a94ab6429a30ee9c20e0c97c7a32bcc,db3783c8b777291bec8cc75c4c66a447fb21af077db33dccfbe8b91c1e2c1443,f22d78c3114e237305f5a14e8aa9ba6908969f571bec6fa256712cbac950b9df,manual_run_1,2026-06-24 01:00:31.919
8164,8164,9541,20251104,2025-11-04,2025,3667,3766,5,Comprei e já quero comprar de novo. Perfeito!,True,1,d8621ba2592f05b7690c88fc9dc6bf8f26b487827c335ab653d854ca4e96cab0,c941e10fb6631cd62418d36f108f10a944a70a3912bbc9f0d6cd841590024253,6a5b2dbf409b7df6a0382fdca46d2b5dd6ce656e7b0161c69abd741540a7fc60,manual_run_1,2026-06-24 01:00:31.919
8735,8735,6694,20250211,2025-02-11,2025,304,8347,5,"Produto excelente, superou minhas expectativas!",True,1,dfccabeb1c0415de947032aa7c2458c4f876c362690fc11dfe60d6fb039d57f3,574257cf7e71208872ad0cba1db365d3b0b7799ed8a1e4436ae710cb0cca531b,c86ce6b1c074576bc0081c94dc6c506b62977dea8485495c72d13636f7f0923c,manual_run_1,2026-06-24 01:00:31.919
9228,9228,8162,20250507,2025-05-07,2025,1777,11479,4,"Produto conforme descrito, embalagem perfeita.",True,1,f7384bd8551456729e1e2c6141e01877b0f3d771ee71bafe24cfcce3d103adaf,cdb97a4fcc4be3719199bcbf89feb6ba1af8fd4ed7ab768b37b58d215154c3c1,93628cb73122ac017f611ca22698fbee5b58ff10220fcd79ff9dfa52b8dd9e94,manual_run_1,2026-06-24 01:00:31.919
966,966,3611,20250724,2025-07-24,2025,10967,11581,3,"Chegou no prazo, produto razoável.",False,1,d73d738925f2d73bd625a081efad8cb31feb7a3939eb37595b32a53580e52dab,ddd2706e4712852a7ce9c3658d4fd150a3ca9425079809077157c160d190cf46,05197dfaf2d402a8279adc1af28bde804c0e332a69280537cd03da924c57cc7c,manual_run_1,2026-06-24 01:00:31.919
10246,10246,4953,20250223,2025-02-23,2025,9782,4943,5,Atendimento incrível e produto top!,True,1,4ad1b1d9fe0a92af841979a7fc9010e3b95099fd4961926616ba13de7848b30c,c88cd194508201839a360f94ca5a8f2b922786b3febfec2d37998b9ec0097bc0,114140f5caf01f7166c8d0439561edfef3039791f4c510559d6b2b0f215a6ab3,manual_run_1,2026-06-24 01:00:31.919
11523,11523,13073,20250206,2025-02-06,2025,14947,14297,2,Demorou muito para chegar e veio errado.,False,1,ed219f667b5a92988478312aac41da0240c753d5123f8b5dd3dc13d981abf796,ffeb2bcf01dfa53255e40a5b983baf06c074acae7052803118f48f513b5063e4,0f5cbdd4824d9a472dc335b73a76ec385caf207c431f55fe8a608c0185823cb4,manual_run_1,2026-06-24 01:00:31.919
12148,12148,5894,20251219,2025-12-19,2025,9487,7953,4,Atendimento incrível e produto top!,True,1,21e926ae0a4b63dff7cc9f264fe535fb04741ba9bce48d53d78c73436d32b1f5,3277d0a515b03ecc5def8c411ccd211b0c07b68d088bffbf558641a6418b1985,ded1993c761dcc4d013cd53c48064ab219775a6359420be46bc00c5d3850f4c7,manual_run_1,2026-06-24 01:00:31.919
12664,12664,5755,20250310,2025-03-10,2025,13269,14954,1,Qualidade muito abaixo do esperado.,False,1,33c8dd88472a6f53be309db377046a738de69a4e936f98b3d44e5e6a971efedc,5cd005d34d5fb6b8b7b9edea35009c77d8284c254bd8c2ecf16cc63f9ae644c3,decd5f24d105757a22c85e06b477941dff2d0f668629336e71917e5d93667a61,manual_run_1,2026-06-24 01:00:31.919
12689,12689,10568,20250406,2025-04-06,2025,14566,405,5,Comprei e já quero comprar de novo. Perfeito!,True,1,ef25d2e1c2d73955454df485d78123c2e1752011c06347ad125228eda3b82c38,31f12ffb2df79bf864d348f444ea4e24e40c5ca0b45358d474619852274b2c7f,d98b0e45ab0e409b1d5dce8113d32acc79887d2394a9c0676c0c34ef8d6d7173,manual_run_1,2026-06-24 01:00:31.919
13164,13164,7775,20250330,2025-03-30,2025,840,2320,4,Comprei e já quero comprar de novo. Perfeito!,True,1,901fa4ba79e06f1375ef3cfdb0576d783900160f565953c6b13afb763cc89c6f,18656dcca57b2087bb9b47fae6e226c6c0e3367f8ff67682fe421ccd6eff9ef2,4b45f176a20f01e698cc5a0b979a07f063da576bbe9f99c185219e2b4848d8e7,manual_run_1,2026-06-24 01:00:31.919
13791,13791,7071,20251020,2025-10-20,2025,1794,7135,4,Atendimento incrível e produto top!,True,1,af137c5a98d209f3344817290429772a1b8a5af718f80d0f064185af97121df8,34adf565bda39456fe8c5204d4cf1d543a868742000d0ca2c68c334cd6265535,4c81c7f154d0742a4844884474c3e05d0dfc9942ed23dc8d3c131e914d1aa721,manual_run_1,2026-06-24 01:00:31.919
13939,13939,14203,20251231,2025-12-31,2025,11467,13438,4,Entrega rápida e produto de ótima qualidade.,True,1,199e86caa90db1f52665b113f67b53beec53b8fa8a43c341a8a8ba16d37cb501,cd5c4edc7059180fb9e741a7d1eccca1536e2426b5292c5d4c9ca10289ed72fa,d82cc97416aec26df43dfeb8cf6853402f1929d0cbc97ef8358d17e3560ec93f,manual_run_1,2026-06-24 01:00:31.919
14073,14073,9785,20250819,2025-08-19,2025,9391,5743,5,Comprei e já quero comprar de novo. Perfeito!,True,1,eecfe37442d499d9cc7304efd7c87a0b2c532ca3a894ed056239171223aee024,22b8669d8107a7cbf7f8f19c70cf69fc3bb3e0fa7fdef4c0296d96612dc9c021,0f698cb5deda9e920a445c555c26a77af6b57a90d351df8e7927bd79f4b50fdb,manual_run_1,2026-06-24 01:00:31.919
14885,14885,4356,20250408,2025-04-08,2025,14794,172,5,"Muito satisfeito com a compra, recomendo!",True,1,54435aca9e4226b8ac958770370619f2b2bbd9717d66f4a7a8354745cd6783d9,c3efe8ebda7a21828b2109abb708c59a31e460ca63f8d9cb81debe71aae60231,64bc5f68ee6bedecd3965fa46641ad25dad725ae7215e8ef88c99001875c216d,manual_run_1,2026-06-24 01:00:31.919
14923,14923,2120,20251119,2025-11-19,2025,8497,6916,1,Qualidade muito abaixo do esperado.,False,1,819839abdff5486bbd938caf66d048d9f84c80c1e7c6978774ffe9e74ca91c21,222bfe677afecf0743541d3967a4205fff236a025f3fa4235d26244a54c8bdbb,6f243ab012c0dd8324301bfc3b0e706943a4efd5c1e833c93309aa20ed79862d,manual_run_1,2026-06-24 01:00:31.919
1801,1801,12709,20251221,2025-12-21,2025,13511,1104,3,"Poderia ter mais opções, mas está bom.",False,1,86a4abb5823bf3701720745410093d7ca23ded3b62854cb8f9191c01519a896c,68c016589784a7919c98edb12f339681127c54ccd8d30234f43c613b5ef3ced9,da6c43f58b9725081b4f63efc248192ee22b0a2235124979a4c6a5f4eb0ed936,manual_run_1,2026-06-24 01:00:31.919
1843,1843,3882,20251228,2025-12-28,2025,6019,3895,4,"Produto excelente, superou minhas expectativas!",True,1,dc9ed66145731f3b4ad441f60bc1dcbf9bc7559b2bff4ebb9b4be60a4231b4ad,4cbb9592cfe2968aca6567dcddc00cbbe84939589386f0561430eec4203d7773,e8ba1c6f806a984b95988bfd241ebf32b276adcf5265f40798f222681a5355e4,manual_run_1,2026-06-24 01:00:31.919
2230,2230,3236,20251017,2025-10-17,2025,5484,2669,2,"Péssima experiência, não voltarei a comprar.",False,1,e15c26b8b9db1ca7702c6b82171dfde386afac0e787a2adf5ebabc5867b8631c,b66bb2bdd0ac5a98d97cff9a0adac73dccbe449f9ff124c0a90471b11e144172,39857cc3c4cdee2c3645f36c9484371787854377e4050b4df89fadca33bf47b4,manual_run_1,2026-06-24 01:00:31.919
2559,2559,9337,20250614,2025-06-14,2025,5288,13140,4,"Produto conforme descrito, embalagem perfeita.",True,1,f14a01ed1970f1faa7ca165ce307b3a5aacbc3c12ab861c4ac6b86bcd91f4070,67cebd7cce37c2198a33bf7e6b622ae500242587c2b3f49502893aa1aa276eda,cd7d6b3dfb7f534428145fe36618e6dbe66dda61c40d04fb626d4159eae8c2c8,manual_run_1,2026-06-24 01:00:31.919
2622,2622,6345,20250316,2025-03-16,2025,6023,6074,5,Comprei e já quero comprar de novo. Perfeito!,True,1,865d3ae47aeed606934209afefcd036a5aacd5096f4b5df97ed309bd7dcfd483,9b3840a1178491ded9b150c05ccecd6c058438d6a061abff720ee224497a17a8,b547776ab19eb2b2c04b955519857161dcc8f7740f4b1e7102b53a09c27c5b3e,manual_run_1,2026-06-24 01:00:31.919
2938,2938,14616,20250213,2025-02-13,2025,14254,3894,5,"Muito satisfeito com a compra, recomendo!",True,1,af53fd51535a38c999b32ae859040b38771883c07e480ae0fcc6ef7aaefb33a8,fb88c607207a24551212a8c28caea387c0215ab325501ec8e3565f68a959f71c,cc3176ba6159c513c8840caac512e0984df960c7be044b262479b27400d70917,manual_run_1,2026-06-24 01:00:31.919
3100,3100,10783,20251231,2025-12-31,2025,6644,1361,5,"Produto conforme descrito, embalagem perfeita.",True,1,b4496c629643477fc764408aadbf6c41d24635079614cf8afac5c6d0ed7e7b81,1e220c83ae578818e839829d6e3e9c105bb8993f77270aefc0b9bb7c5634d8f4,2690670ab1526aaa74a8b2838b15ad93c6ddb73c2316194236755fee45209bd7,manual_run_1,2026-06-24 01:00:31.919
3543,3543,13569,20250709,2025-07-09,2025,7620,11346,2,Demorou muito para chegar e veio errado.,False,1,7e004542d30e6c2140f1e5568e7afc39bffa9de806b1bb9429532b7787f495f9,7c506fc906bc889718003832156a452bc4d2d110563143b0ca11aeb0872b72ab,1977029107bd3f73532907f3fdc4e9145a0232b15509a7d8930101021eab3efb,manual_run_1,2026-06-24 01:00:31.919
3651,3651,11522,20250324,2025-03-24,2025,5120,4544,5,Comprei e já quero comprar de novo. Perfeito!,True,1,98b96482a83e0e553e384a6ce0e15763763998d660e59ca19f8557f778abe1fe,9ad6004177ae62d0687bd4a76563a4bab6bb3d59adc484c7194164961e5efe6d,1697bea7656d59bba49a1ee8485befc7784b2ed9b7ec7d30cee0d58f88f66918,manual_run_1,2026-06-24 01:00:31.919
3677,3677,12531,20250527,2025-05-27,2025,3898,13241,4,Comprei e já quero comprar de novo. Perfeito!,True,1,df93ac5406f623cab50c8dbb5af3ff43fbcdf3f97744e2f51dc841370173eceb,9bb7a2eb9afe4531b8c5a4e58907f906e514c6e4af019d028a85c39a06a0fe10,a1c9597533cfe6a785d603aca35849de4943124a0b80ef62049ad801df76ccd2,manual_run_1,2026-06-24 01:00:31.919
4047,4047,10848,20250306,2025-03-06,2025,2464,5213,5,"Muito satisfeito com a compra, recomendo!",True,1,b2cd3bd7dc82d553dfe374275973128c7e65fa50ed5cabcd5693c4439f1ce70e,22661c92ceb2a315523e96a5d71084f8090ebc1b4dcc845e5ed33e3cfbbd3bfa,ab68efc58dac12d7859782086872a376a72342135f7e67a1af2be930841edc6c,manual_run_1,2026-06-24 01:00:31.919
4433,4433,13684,20250829,2025-08-29,2025,3012,12404,4,Comprei e já quero comprar de novo. Perfeito!,True,1,cd4367ddef997f6c71387cde1f8042d67712a0342b2e8c4aeca866fccdce2536,c75ccd78573c9f88ddc57f7524b7db7f85b5dc5b40492032620d058c80c3b5fe,5fc83aa4db66e66722aadb466864e33bc63e9256841c41216f718f86a6bab6ff,manual_run_1,2026-06-24 01:00:31.919
4541,4541,12474,20250321,2025-03-21,2025,3948,2567,5,"Produto excelente, superou minhas expectativas!",True,1,bc3c432340b5056f2331bb2058154cb42722c3e9925ae35e2aa88e10099cb4c7,07834d20ff8f2193e9b77e28ad7d4a6f3bde17d00b873dded5caefce8b6178dd,72e358d7cb2f04ec8020d873586cc08b93f043c96601379694caa1b218f67087,manual_run_1,2026-06-24 01:00:31.919
4725,4725,8199,20250809,2025-08-09,2025,2855,4697,5,"Ótimo custo-benefício, chegou antes do prazo.",True,1,25c8be77437daa2f4a7b81f38881112b9c19f17f704682ea1a455a51d8637d55,d876e79fec9fc09953015e40f57040fad8a85492ef82f9484317150c42c8dc02,2c83e5e6b09875a9b6d168a61e411133452decee610074bcf1d405ef35f815cb,manual_run_1,2026-06-24 01:00:31.919
5304,5304,3585,20251201,2025-12-01,2025,12704,868,5,Entrega rápida e produto de ótima qualidade.,True,1,9ec649378cc50e038e347608cd9048dbfb7c6e3b1f1ae330dd4d2111ef814122,bf288ca79b1a7eb8e22bb702538409e84673000d9e48b6a17b474618d12cbb66,f42009fae7f41689e55d03100c94bea292b994a10d9e433e31fc243e38b7019c,manual_run_1,2026-06-24 01:00:31.919
5310,5310,8267,20250328,2025-03-28,2025,8484,1207,4,"Produto excelente, superou minhas expectativas!",True,1,da9672171f50ce7d7112280d0ef838c941ad3a2b8122214c578e3fdf0a392c73,63e658710339d9e866f3016ef619c33a5bcf0826b081df1eb4c3c3039350afdd,60d71b6d129d1d32935a2ca8ab3254c882e59f44bc0569deb650ad9ca787e6c8,manual_run_1,2026-06-24 01:00:31.919
5313,5313,5192,20250904,2025-09-04,2025,11001,6900,4,Comprei e já quero comprar de novo. Perfeito!,True,1,519cf2088eca2e744793e34d0d8cef3ab69b9b7c70f99a37d7bc70f550600b1f,98a8d0a4fc958a66b4a1a76961ded8ebdf1dd03bb79d98f24dc5d5ce8eeffaaf,d013af40ea9b43d56f48610b1c406b17fc4e2f41535db699ce41a460504da4e2,manual_run_1,2026-06-24 01:00:31.919
5369,5369,1511,20251217,2025-12-17,2025,6802,1275,4,Atendimento incrível e produto top!,True,1,88b91afa67e7f01d244a0b138402bb98e1eac0e6cb3a77ac9f6f30e03ca0cb75,0e023b6b6e4a39c84afa851c203f56d3f3606a259b20d487506c6abd6c7352b1,9e290c744db61669848110558fdf48034a241f8ebfc61bbcded9a7c241b39332,manual_run_1,2026-06-24 01:00:31.919
5404,5404,9241,20250729,2025-07-29,2025,8177,11776,4,Entrega rápida e produto de ótima qualidade.,True,1,f417a7230e32c56c162392888bac2fccc6f02123a763e8573d0e7c2137782af6,ef7b23c29253989b09a81254c893e001ca2fd34a2fe5af28ffd70b44dd0ab6ed,1436b19c50dd4cdf0c5c3a0050aee2f4724ea3b8f8e2d921bb19e90d4a043cf6,manual_run_1,2026-06-24 01:00:31.919
5751,5751,804,20250528,2025-05-28,2025,4485,2370,5,Comprei e já quero comprar de novo. Perfeito!,True,1,c6ff5c2e35337bf9d896281a6b0b283427097d159a36c43f6a477a7fda490de7,6ec0b9484ce9edc4000f2474bca30db1ca95e71129b68cebb73fcb40ec609a7d,f52afd807c8eba9787107e8ab4c80a41bb8e3b0d229dc55fa5840a3b1d04bd3e,manual_run_1,2026-06-24 01:00:31.919
5895,5895,4436,20250514,2025-05-14,2025,5383,9074,4,"Muito satisfeito com a compra, recomendo!",True,1,ed6e98e4e6161429d68d61ace89e37a111426ef9ddba162217c3359a71f86319,ab4cef23c311474cf3c7f6ec832baf06b6f40a54716a4539407cd79c314d8a6b,7f91d7e90f25eb8baeb6bc7c082f080f3d199cb0c189ecc791b94d32b2bf4c59,manual_run_1,2026-06-24 01:00:31.919
7636,7636,8630,20250904,2025-09-04,2025,4312,13349,1,"Produto com defeito, decepcionante.",False,1,a75bccfb39d66a6c8e816914a5cf3fee7cc8a9bc8fe21fbe0e677217b02d1d4f,d7af87d621d4a938aae9622643e9f5e61c262d3288e60488a27436a47d0ba6ae,c94ec30dda662fd303cade1a98db8d46eefea91c0c93eac22878233bd4624d1c,manual_run_1,2026-06-24 01:00:31.919
8773,8773,11328,20250104,2025-01-04,2025,14561,3027,5,Comprei e já quero comprar de novo. Perfeito!,True,1,acc21cf421f3319e0c1601883f49d23a68039d0e37dbb55c2bc8a2cabbce38ad,91f7a28589aaf118324dfeeffad06b6868e8e067c1f07d3611b1875edde578ee,14cc4d1eaf1d3fd70a613f0f65b71079dfc31d3b46e67a6e6af32e8ff19d087d,manual_run_1,2026-06-24 01:00:31.919
10227,10227,2832,20251228,2025-12-28,2025,3227,14953,5,Comprei e já quero comprar de novo. Perfeito!,True,1,dc6d1a4e89d7fd4ed3848a5f563c8612952d0a9fc5abff1f39b6be437e5bc42b,85f7734111536168998aba85b0d7fda8a34ad2540af432fdac7e1b00716f3dce,d73c0b41c958933880c61b65c10b63192664db3858b55c8914f2fa0ed2e47db8,manual_run_1,2026-06-24 01:00:31.919
11308,11308,8017,20250709,2025-07-09,2025,8398,13531,2,"Produto com defeito, decepcionante.",False,1,c83f9857cd718d7b4fe00465f6e51673475898598c265d50f5d0c69f6c7c5b17,4d76f94ea9dd013ad4b15d56c420d7071549e29c3ab2cd54f670d6b2e88c0d02,cd7f1cc802c81a49fefc3f3c76e5bbce99a4034f46049e6cda974f8d1665b677,manual_run_1,2026-06-24 01:00:31.919
12465,12465,2894,20250417,2025-04-17,2025,5299,7626,5,"Muito satisfeito com a compra, recomendo!",True,1,e5d5baaa76a3c68740aa0b21b62ba96e453749f6adf1b324ab688161e88f6cc3,6492857bae464c87e259e3eb1fd67235700bdca1a05b5cbb769e883436d23bee,19f83528ea5a1708fd580b0302f8becbb704f31d4ba3f8fcb54e202262560bdd,manual_run_1,2026-06-24 01:00:31.919
13198,13198,10490,20250328,2025-03-28,2025,10649,6862,5,Atendimento incrível e produto top!,True,1,04635fbc3ec8d83734da0159f005ff2c1701529182c8450b104fffe0a5c4954f,9c24b56f50fc76569f5040bd2a2f069f279beb4bbf992a469f9e8094731521c3,680e8955187c90917ba371f7f11f3f311d551c38cc59d3a0de33e46234177729,manual_run_1,2026-06-24 01:00:31.919
