id_entrega,id_pedido,status_entrega,data_envio,data_entrega_prevista,data_entrega_real,transportadora,codigo_rastreio,updated_at
28,7060,pendente,2024-01-11T00:00:00,2024-01-27,,FedEx,BZ510431530BR,2025-09-01T00:00:00
29,5136,entregue,2024-06-14T00:00:00,2024-06-24,2024-06-29,Total Express,SC565522636BR,2024-09-10T00:00:00
30,10261,entregue,2023-11-14T00:00:00,2023-11-21,2023-11-20,Correios,YJ447151199BR,2025-04-20T00:00:00
31,11073,entregue,2024-11-03T00:00:00,2024-11-23,2024-11-21,Latam Cargo,MF910171041BR,2026-04-20T00:00:00
32,13597,pendente,2024-07-31T00:00:00,2024-08-05,,Total Express,BR707617052BR,2025-02-24T00:00:00
33,13580,entregue,2023-02-15T00:00:00,2023-03-01,2023-03-01,FedEx,MR814685969BR,2025-10-06T00:00:00
34,5363,em_transito,2025-01-22T00:00:00,2025-02-07,,DHL,VA173191924BR,2026-02-06T00:00:00
35,7750,entregue,2025-03-17T00:00:00,2025-03-26,2025-03-31,Latam Cargo,QK065045383BR,2026-05-10T00:00:00
36,7475,entregue,2024-08-08T00:00:00,2024-08-16,2024-08-20,Loggi,KL807885447BR,2025-12-07T00:00:00
37,12170,entregue,2023-09-29T00:00:00,2023-10-15,2023-10-15,Total Express,KZ845744296BR,2026-06-01T00:00:00
38,12037,entregue,2025-03-31T00:00:00,2025-04-17,2025-04-19,Latam Cargo,PU960449655BR,2026-03-15T00:00:00
39,13706,entregue,2025-01-01T00:00:00,2025-01-08,2025-01-07,Total Express,ND982592890BR,2025-04-04T00:00:00
40,14904,entregue,2024-09-15T00:00:00,2024-09-18,2024-09-20,Latam Cargo,JV024593184BR,2025-09-24T00:00:00
41,13976,devolvido,2024-09-23T00:00:00,2024-10-11,2024-10-21,Latam Cargo,WT351653375BR,2024-11-08T00:00:00
42,2957,entregue,2024-05-23T00:00:00,2024-05-29,2024-06-03,Azul Cargo,WJ403888666BR,2025-04-12T00:00:00
43,12846,pendente,2025-04-11T00:00:00,2025-04-23,,JadLog,FH283425343BR,2026-03-05T00:00:00
44,14564,em_transito,2025-10-02T00:00:00,2025-10-22,,Azul Cargo,FJ975219194BR,2025-12-04T00:00:00
45,8563,entregue,2025-09-27T00:00:00,2025-10-06,2025-10-11,Correios,MX697395682BR,2025-10-31T00:00:00
46,4727,entregue,2023-09-28T00:00:00,2023-10-10,2023-10-09,Latam Cargo,KJ306236806BR,2025-07-17T00:00:00
47,2160,entregue,2024-12-15T00:00:00,2025-01-02,2025-01-02,Loggi,OO540827087BR,2026-01-05T00:00:00
48,2740,entregue,2023-02-22T00:00:00,2023-03-12,2023-03-13,FedEx,BX725768833BR,2023-08-08T00:00:00
49,9584,em_transito,2023-08-30T00:00:00,2023-09-05,,JadLog,LF761237154BR,2024-12-29T00:00:00
50,4732,pendente,2023-10-26T00:00:00,2023-11-09,,FedEx,ZA383488687BR,2026-05-17T00:00:00
51,11681,entregue,2025-04-29T00:00:00,2025-05-08,2025-05-07,Azul Cargo,DP523330722BR,2026-02-16T00:00:00
52,12131,entregue,2024-09-25T00:00:00,2024-10-06,2024-10-09,Total Express,IP587203539BR,2025-06-15T00:00:00
53,2625,entregue,2024-02-18T00:00:00,2024-02-21,2024-02-25,Latam Cargo,HE396014110BR,2024-03-18T00:00:00
54,14628,devolvido,2023-06-03T00:00:00,2023-06-21,2023-07-02,Loggi,UC616728649BR,2024-03-01T00:00:00
55,635,pendente,2025-06-17T00:00:00,2025-06-26,,DHL,MT931472045BR,2026-04-29T00:00:00
56,13579,entregue,2025-02-24T00:00:00,2025-03-10,2025-03-14,DHL,MZ389698300BR,2026-04-05T00:00:00
57,4966,entregue,2026-05-16T00:00:00,2026-05-30,2026-06-03,Total Express,UU860933055BR,2026-05-23T00:00:00
58,162,entregue,2023-05-02T00:00:00,2023-05-19,2023-05-23,FedEx,IR525846286BR,2023-12-27T00:00:00
59,11501,entregue,2023-03-07T00:00:00,2023-03-14,2023-03-19,Latam Cargo,DT216575804BR,2023-12-12T00:00:00
60,4637,entregue,2023-10-27T00:00:00,2023-11-07,2023-11-10,Correios,JW317454190BR,2025-10-31T00:00:00
61,11352,entregue,2023-01-27T00:00:00,2023-02-12,2023-02-16,Total Express,NT872120294BR,2023-09-15T00:00:00
62,6973,em_transito,2025-06-18T00:00:00,2025-06-27,,Correios,ML883642183BR,2025-06-25T00:00:00
63,7813,entregue,2025-06-03T00:00:00,2025-06-16,2025-06-14,Total Express,AX668565017BR,2026-02-14T00:00:00
64,7904,entregue,2024-08-29T00:00:00,2024-09-13,2024-09-13,Correios,GA883880926BR,2025-07-13T00:00:00
65,1309,em_transito,2023-05-25T00:00:00,2023-06-07,,Latam Cargo,KO058622789BR,2024-03-02T00:00:00
66,7552,entregue,2025-10-15T00:00:00,2025-10-26,2025-10-31,Total Express,RP516474887BR,2025-12-28T00:00:00
67,14250,pendente,2025-02-07T00:00:00,2025-02-10,,Total Express,IE199713204BR,2025-03-27T00:00:00
68,10603,entregue,2024-07-08T00:00:00,2024-07-22,2024-07-25,FedEx,VM362748090BR,2024-10-14T00:00:00
69,9698,entregue,2024-07-07T00:00:00,2024-07-19,2024-07-19,Total Express,YY386634233BR,2025-07-28T00:00:00
70,8330,entregue,2025-11-29T00:00:00,2025-12-03,2025-12-06,Loggi,JC554921103BR,2026-01-25T00:00:00
71,13484,pendente,2026-05-08T00:00:00,2026-05-22,,Correios,ME513827372BR,2026-05-27T00:00:00
72,11829,devolvido,2023-09-04T00:00:00,2023-09-08,2023-09-20,Azul Cargo,TL478285521BR,2025-02-13T00:00:00
73,10872,em_transito,2023-07-02T00:00:00,2023-07-17,,JadLog,DS076167515BR,2026-02-28T00:00:00
74,4291,entregue,2025-07-30T00:00:00,2025-08-17,2025-08-19,Loggi,MK973976583BR,2026-02-17T00:00:00
75,9017,em_transito,2023-09-05T00:00:00,2023-09-15,,DHL,XT804464681BR,2026-05-27T00:00:00
76,4892,entregue,2024-01-28T00:00:00,2024-02-07,2024-02-05,DHL,FL994692853BR,2025-06-26T00:00:00
77,5282,entregue,2024-03-04T00:00:00,2024-03-09,2024-03-10,FedEx,GP930617110BR,2024-11-12T00:00:00
78,7319,entregue,2024-09-10T00:00:00,2024-09-15,2024-09-15,Total Express,AQ685025442BR,2026-04-27T00:00:00
79,2428,entregue,2024-10-01T00:00:00,2024-10-04,2024-10-08,Loggi,MI981786536BR,2026-04-07T00:00:00
80,1574,entregue,2023-12-29T00:00:00,2024-01-02,2023-12-31,Correios,QG146334871BR,2024-10-06T00:00:00
81,2361,entregue,2025-07-21T00:00:00,2025-08-06,2025-08-05,DHL,HH920889934BR,2026-02-08T00:00:00
82,2957,entregue,2023-02-19T00:00:00,2023-02-28,2023-02-26,Correios,OD843140224BR,2025-02-09T00:00:00
83,4388,devolvido,2026-01-01T00:00:00,2026-01-19,2026-01-25,Azul Cargo,HE132522972BR,2026-01-19T00:00:00
84,14578,em_transito,2024-03-03T00:00:00,2024-03-13,,Latam Cargo,TA648574145BR,2024-08-24T00:00:00
85,784,em_transito,2024-07-14T00:00:00,2024-07-24,,Loggi,ZH847966376BR,2024-07-14T00:00:00
86,4176,entregue,2023-11-16T00:00:00,2023-11-25,2023-11-24,FedEx,BL163111737BR,2025-03-22T00:00:00
87,3440,entregue,2025-11-09T00:00:00,2025-11-19,2025-11-17,Total Express,OD792732119BR,2026-03-28T00:00:00
88,12255,entregue,2023-11-01T00:00:00,2023-11-16,2023-11-21,Loggi,KE432303870BR,2026-01-11T00:00:00
89,10302,pendente,2026-01-08T00:00:00,2026-01-22,,Azul Cargo,SP037634992BR,2026-04-02T00:00:00
90,4230,entregue,2023-11-02T00:00:00,2023-11-10,2023-11-11,Correios,UR128238508BR,2026-01-07T00:00:00
91,5557,entregue,2024-11-13T00:00:00,2024-11-16,2024-11-17,DHL,ME709031089BR,2025-05-14T00:00:00
92,2391,entregue,2023-08-04T00:00:00,2023-08-19,2023-08-18,Azul Cargo,QL129278878BR,2026-02-26T00:00:00
93,3490,entregue,2023-12-07T00:00:00,2023-12-17,2023-12-18,DHL,EH660910320BR,2026-05-01T00:00:00
94,12459,entregue,2023-03-19T00:00:00,2023-04-04,2023-04-07,JadLog,PE722269923BR,2025-05-18T00:00:00
95,198,devolvido,2026-05-04T00:00:00,2026-05-07,2026-05-19,DHL,QJ166100308BR,2026-06-03T00:00:00
96,12900,entregue,2024-05-03T00:00:00,2024-05-19,2024-05-17,DHL,BB430570839BR,2024-11-19T00:00:00
97,9357,entregue,2024-06-18T00:00:00,2024-06-28,2024-06-30,DHL,XK505295813BR,2025-11-20T00:00:00
98,6407,entregue,2023-07-14T00:00:00,2023-08-03,2023-08-07,Correios,CZ973274881BR,2024-10-17T00:00:00
99,7211,entregue,2024-10-24T00:00:00,2024-10-30,2024-11-04,Latam Cargo,LA682580811BR,2025-02-23T00:00:00
100,11145,entregue,2023-02-10T00:00:00,2023-02-23,2023-02-24,Loggi,CF894960689BR,2025-09-06T00:00:00
101,5769,em_transito,2024-02-20T00:00:00,2024-03-04,,FedEx,IE495754965BR,2026-06-03T00:00:00
102,10089,em_transito,2025-07-06T00:00:00,2025-07-20,,JadLog,RY751014859BR,2026-03-25T00:00:00
103,13922,entregue,2024-08-05T00:00:00,2024-08-17,2024-08-15,Total Express,BI473777608BR,2025-04-29T00:00:00
104,7812,em_transito,2025-05-10T00:00:00,2025-05-14,,Correios,DX998014255BR,2025-05-18T00:00:00
105,4076,entregue,2025-05-05T00:00:00,2025-05-20,2025-05-25,JadLog,GA923843951BR,2026-03-06T00:00:00
106,8525,entregue,2023-07-31T00:00:00,2023-08-13,2023-08-12,FedEx,OV018984009BR,2023-12-02T00:00:00
107,6519,entregue,2025-08-19T00:00:00,2025-09-01,2025-09-04,Latam Cargo,ZM990711564BR,2025-11-21T00:00:00
108,10687,entregue,2023-03-03T00:00:00,2023-03-19,2023-03-18,Loggi,FG473304080BR,2026-02-03T00:00:00
109,8867,entregue,2024-06-03T00:00:00,2024-06-22,2024-06-26,Total Express,NT902552923BR,2026-05-30T00:00:00
110,11268,pendente,2026-03-18T00:00:00,2026-04-04,,DHL,JS481618605BR,2026-05-15T00:00:00
111,10495,entregue,2025-10-12T00:00:00,2025-10-25,2025-10-25,DHL,PT929963649BR,2025-10-15T00:00:00
112,10090,entregue,2024-02-01T00:00:00,2024-02-08,2024-02-07,Correios,TL590413947BR,2024-04-01T00:00:00
113,6351,pendente,2024-05-09T00:00:00,2024-05-16,,JadLog,XR043460161BR,2024-12-14T00:00:00
114,3065,pendente,2023-08-06T00:00:00,2023-08-12,,JadLog,CW264802510BR,2024-03-18T00:00:00
115,7052,pendente,2025-12-31T00:00:00,2026-01-03,,FedEx,NT486626617BR,2026-06-11T00:00:00
116,2216,entregue,2025-01-22T00:00:00,2025-02-04,2025-02-04,JadLog,KC849805062BR,2025-06-13T00:00:00
117,6847,entregue,2025-09-26T00:00:00,2025-10-03,2025-10-06,FedEx,SG994068908BR,2025-11-04T00:00:00
118,9812,entregue,2026-06-01T00:00:00,2026-06-14,2026-06-17,Latam Cargo,RJ033085860BR,2026-06-08T00:00:00
119,14938,entregue,2023-03-31T00:00:00,2023-04-08,2023-04-11,DHL,SI268278475BR,2024-08-19T00:00:00
120,3681,em_transito,2025-12-18T00:00:00,2025-12-31,,Correios,CI036002144BR,2026-06-06T00:00:00
121,11234,entregue,2025-01-07T00:00:00,2025-01-11,2025-01-11,JadLog,FC805456290BR,2025-10-30T00:00:00
122,35,entregue,2024-11-01T00:00:00,2024-11-11,2024-11-15,DHL,QP900925898BR,2025-12-06T00:00:00
123,9825,devolvido,2024-04-29T00:00:00,2024-05-13,2024-05-18,JadLog,IC840391755BR,2024-12-08T00:00:00
124,139,pendente,2023-06-20T00:00:00,2023-07-01,,FedEx,QN427841469BR,2025-01-05T00:00:00
125,3068,pendente,2025-12-30T00:00:00,2026-01-19,,FedEx,IG167021816BR,2026-03-20T00:00:00
126,5248,entregue,2024-11-30T00:00:00,2024-12-07,2024-12-11,DHL,PT626568570BR,2025-01-12T00:00:00
127,10837,entregue,2025-01-08T00:00:00,2025-01-25,2025-01-26,Loggi,KG479801345BR,2025-03-22T00:00:00
128,8778,entregue,2024-08-25T00:00:00,2024-08-30,2024-08-31,Correios,GI596887894BR,2026-04-26T00:00:00
129,2192,entregue,2025-09-07T00:00:00,2025-09-11,2025-09-09,Latam Cargo,VU519116180BR,2026-04-29T00:00:00
130,14514,entregue,2024-08-03T00:00:00,2024-08-07,2024-08-07,Total Express,VM268570949BR,2024-09-11T00:00:00
131,9043,entregue,2024-12-17T00:00:00,2024-12-28,2024-12-28,Azul Cargo,PL503290884BR,2025-11-03T00:00:00
132,14137,entregue,2024-05-24T00:00:00,2024-06-03,2024-06-03,Correios,VT302484644BR,2024-11-10T00:00:00
133,9328,entregue,2026-03-02T00:00:00,2026-03-11,2026-03-12,Correios,UW045564513BR,2026-04-08T00:00:00
134,7841,entregue,2023-12-14T00:00:00,2023-12-25,2023-12-23,Latam Cargo,XT003150902BR,2025-04-20T00:00:00
135,9542,em_transito,2025-12-13T00:00:00,2025-12-16,,JadLog,SX888873589BR,2026-02-17T00:00:00
136,7673,entregue,2025-10-19T00:00:00,2025-10-28,2025-10-31,JadLog,QG497840195BR,2026-04-24T00:00:00
137,2807,entregue,2023-05-26T00:00:00,2023-06-08,2023-06-06,JadLog,YZ353765246BR,2023-08-27T00:00:00
138,3775,entregue,2025-05-25T00:00:00,2025-05-29,2025-06-02,Loggi,AC241004661BR,2026-04-15T00:00:00
139,5723,devolvido,2025-05-16T00:00:00,2025-05-20,2025-05-30,DHL,FP470005626BR,2025-12-11T00:00:00
140,4539,entregue,2025-06-04T00:00:00,2025-06-08,2025-06-06,FedEx,IL113842844BR,2025-07-14T00:00:00
141,12578,pendente,2023-05-01T00:00:00,2023-05-10,,Correios,CW831094287BR,2025-03-13T00:00:00
142,8853,em_transito,2025-12-28T00:00:00,2026-01-14,,Correios,IB901868041BR,2026-04-07T00:00:00
143,5010,entregue,2023-01-02T00:00:00,2023-01-21,2023-01-26,FedEx,ID643679533BR,2026-01-20T00:00:00
144,4959,entregue,2024-04-19T00:00:00,2024-04-24,2024-04-22,Total Express,CS282464784BR,2024-12-03T00:00:00
145,5216,entregue,2023-10-17T00:00:00,2023-11-05,2023-11-09,DHL,NO858063154BR,2024-05-28T00:00:00
146,9148,em_transito,2024-12-29T00:00:00,2025-01-13,,Correios,IU056972207BR,2026-05-16T00:00:00
147,7768,devolvido,2026-03-06T00:00:00,2026-03-26,2026-04-01,Correios,ID529025958BR,2026-04-10T00:00:00
148,5124,devolvido,2024-06-09T00:00:00,2024-06-17,2024-06-30,Latam Cargo,NE593751300BR,2025-09-01T00:00:00
149,1032,entregue,2024-03-24T00:00:00,2024-04-02,2024-04-06,Latam Cargo,TP075616590BR,2024-05-01T00:00:00
150,9971,entregue,2023-08-14T00:00:00,2023-08-28,2023-08-29,FedEx,ZL121406921BR,2023-10-20T00:00:00
151,11330,entregue,2026-01-26T00:00:00,2026-02-04,2026-02-04,JadLog,PI836623945BR,2026-02-04T00:00:00
152,3128,entregue,2025-05-02T00:00:00,2025-05-14,2025-05-13,Correios,EA742143958BR,2025-11-13T00:00:00
153,12186,pendente,2026-01-22T00:00:00,2026-01-30,,DHL,PZ027391956BR,2026-02-23T00:00:00
154,10720,pendente,2025-04-30T00:00:00,2025-05-15,,Total Express,UJ698476173BR,2026-02-11T00:00:00
155,4304,devolvido,2023-07-26T00:00:00,2023-08-12,2023-08-19,Latam Cargo,VF462890982BR,2025-09-23T00:00:00
156,8226,entregue,2023-07-27T00:00:00,2023-08-15,2023-08-18,Loggi,WU388233708BR,2025-08-24T00:00:00
157,2129,entregue,2024-03-31T00:00:00,2024-04-07,2024-04-12,JadLog,SS973343663BR,2025-05-08T00:00:00
158,3788,devolvido,2026-06-06T00:00:00,2026-06-20,2026-06-30,Azul Cargo,RL799356131BR,2026-06-08T00:00:00
159,11205,pendente,2025-01-10T00:00:00,2025-01-25,,Azul Cargo,FN594558851BR,2026-05-09T00:00:00
160,265,em_transito,2024-02-20T00:00:00,2024-03-07,,FedEx,EQ676081109BR,2025-06-23T00:00:00
161,555,entregue,2026-03-20T00:00:00,2026-04-06,2026-04-07,Loggi,SD112199376BR,2026-03-25T00:00:00
162,5070,em_transito,2023-10-04T00:00:00,2023-10-11,,Loggi,XR647522017BR,2023-10-21T00:00:00
163,7882,entregue,2024-01-22T00:00:00,2024-02-07,2024-02-07,Total Express,OS746122789BR,2025-02-08T00:00:00
164,7030,entregue,2023-03-07T00:00:00,2023-03-23,2023-03-22,Loggi,AS778110595BR,2023-08-20T00:00:00
165,11395,entregue,2023-04-16T00:00:00,2023-05-06,2023-05-10,Azul Cargo,FL312530686BR,2024-06-13T00:00:00
166,13171,em_transito,2023-12-04T00:00:00,2023-12-08,,Correios,UB148903865BR,2026-04-15T00:00:00
167,14962,entregue,2025-06-11T00:00:00,2025-06-23,2025-06-28,Loggi,SN943191817BR,2025-10-29T00:00:00
168,9443,entregue,2026-06-06T00:00:00,2026-06-21,2026-06-21,Azul Cargo,FQ595268761BR,2026-06-08T00:00:00
169,1103,entregue,2024-01-21T00:00:00,2024-01-27,2024-02-01,Latam Cargo,VU182307693BR,2025-02-03T00:00:00
170,12411,entregue,2025-11-28T00:00:00,2025-12-13,2025-12-18,FedEx,JS542388604BR,2026-01-15T00:00:00
171,5663,entregue,2023-12-21T00:00:00,2023-12-29,2024-01-02,Azul Cargo,BS642157461BR,2025-10-22T00:00:00
172,2903,devolvido,2026-01-12T00:00:00,2026-01-27,2026-02-11,Correios,XM805922200BR,2026-04-17T00:00:00
173,12732,entregue,2023-10-22T00:00:00,2023-10-31,2023-10-31,Latam Cargo,GZ113660196BR,2025-09-15T00:00:00
174,1365,entregue,2025-05-08T00:00:00,2025-05-28,2025-05-31,Latam Cargo,YW313516256BR,2026-02-28T00:00:00
175,6913,entregue,2023-03-03T00:00:00,2023-03-16,2023-03-20,Azul Cargo,DU269671542BR,2025-01-26T00:00:00
176,238,entregue,2026-02-04T00:00:00,2026-02-07,2026-02-08,Azul Cargo,NR104256250BR,2026-05-15T00:00:00
177,11362,entregue,2025-05-03T00:00:00,2025-05-10,2025-05-11,FedEx,YV187549859BR,2025-10-22T00:00:00
178,9521,em_transito,2023-09-24T00:00:00,2023-09-27,,Loggi,YD184425345BR,2025-06-13T00:00:00
179,13669,entregue,2024-03-14T00:00:00,2024-03-30,2024-03-31,Correios,HM287666381BR,2026-05-15T00:00:00
180,12919,entregue,2026-03-27T00:00:00,2026-04-10,2026-04-15,FedEx,WS524833698BR,2026-03-28T00:00:00
181,12060,entregue,2023-10-06T00:00:00,2023-10-10,2023-10-09,Total Express,ZF727321523BR,2026-05-14T00:00:00
182,837,devolvido,2023-04-03T00:00:00,2023-04-06,2023-04-17,Azul Cargo,YK336714529BR,2025-02-27T00:00:00
183,13556,entregue,2024-08-18T00:00:00,2024-08-24,2024-08-25,Latam Cargo,LY058683900BR,2025-10-22T00:00:00
184,9905,em_transito,2026-04-15T00:00:00,2026-04-27,,Azul Cargo,AC252716512BR,2026-05-03T00:00:00
185,10273,entregue,2026-05-24T00:00:00,2026-06-11,2026-06-09,Total Express,IB825477787BR,2026-06-04T00:00:00
186,1177,entregue,2024-12-28T00:00:00,2025-01-02,2025-01-07,DHL,OG576471017BR,2025-07-14T00:00:00
187,6059,entregue,2024-09-05T00:00:00,2024-09-10,2024-09-15,Correios,LS056559089BR,2024-12-18T00:00:00
188,1649,entregue,2026-03-16T00:00:00,2026-03-29,2026-04-01,DHL,GA269554133BR,2026-05-12T00:00:00
189,3942,entregue,2026-03-12T00:00:00,2026-03-27,2026-03-28,Loggi,GE119025675BR,2026-04-10T00:00:00
190,3861,entregue,2024-01-29T00:00:00,2024-02-07,2024-02-10,Azul Cargo,VU260657420BR,2024-05-25T00:00:00
191,10360,entregue,2025-07-24T00:00:00,2025-08-10,2025-08-13,Loggi,YT771353099BR,2025-09-12T00:00:00
192,14394,entregue,2026-04-08T00:00:00,2026-04-13,2026-04-16,Correios,KV511694156BR,2026-05-21T00:00:00
193,7024,entregue,2023-03-03T00:00:00,2023-03-17,2023-03-21,Total Express,NS466975533BR,2024-10-05T00:00:00
194,176,entregue,2025-02-01T00:00:00,2025-02-18,2025-02-18,Total Express,QM574633826BR,2025-06-15T00:00:00
195,10751,entregue,2025-06-26T00:00:00,2025-07-12,2025-07-13,Total Express,DW577638540BR,2025-11-11T00:00:00
196,6966,entregue,2025-07-31T00:00:00,2025-08-04,2025-08-09,Loggi,BR166721526BR,2025-11-16T00:00:00
197,615,entregue,2026-03-11T00:00:00,2026-03-18,2026-03-22,DHL,ZP232504190BR,2026-05-15T00:00:00
198,13350,entregue,2023-08-13T00:00:00,2023-08-25,2023-08-26,DHL,RY333429398BR,2025-03-16T00:00:00
199,14871,entregue,2023-11-03T00:00:00,2023-11-13,2023-11-12,Azul Cargo,ZD402513559BR,2023-12-06T00:00:00
200,10933,entregue,2024-07-19T00:00:00,2024-07-28,2024-07-28,DHL,UU784728881BR,2024-09-02T00:00:00
201,1286,entregue,2025-11-11T00:00:00,2025-11-24,2025-11-26,Azul Cargo,RE470470348BR,2025-12-25T00:00:00
202,1434,entregue,2023-05-04T00:00:00,2023-05-10,2023-05-13,Latam Cargo,GA753863116BR,2023-12-27T00:00:00
203,10890,entregue,2025-11-18T00:00:00,2025-12-02,2025-12-03,Loggi,IG293338045BR,2026-03-27T00:00:00
204,814,entregue,2026-05-18T00:00:00,2026-05-28,2026-06-01,Loggi,QN025268633BR,2026-06-03T00:00:00
205,13279,devolvido,2024-10-04T00:00:00,2024-10-10,2024-10-17,DHL,XH921068040BR,2025-01-04T00:00:00
206,3644,entregue,2023-06-21T00:00:00,2023-07-06,2023-07-10,DHL,UX525002151BR,2023-06-24T00:00:00
207,1174,entregue,2023-01-04T00:00:00,2023-01-22,2023-01-26,Azul Cargo,ZG576031989BR,2025-08-13T00:00:00
208,9073,entregue,2026-01-24T00:00:00,2026-02-11,2026-02-10,Loggi,VV422779967BR,2026-05-02T00:00:00
209,8531,devolvido,2024-04-09T00:00:00,2024-04-17,2024-04-25,Azul Cargo,NX658225630BR,2025-06-19T00:00:00
210,7192,entregue,2025-12-17T00:00:00,2025-12-26,2025-12-24,FedEx,HT279998964BR,2026-01-14T00:00:00
211,10771,entregue,2025-10-05T00:00:00,2025-10-25,2025-10-29,Loggi,YP080050322BR,2026-01-22T00:00:00
212,4342,entregue,2025-01-14T00:00:00,2025-01-27,2025-01-26,Correios,UK026957366BR,2025-08-31T00:00:00
213,53,entregue,2025-05-15T00:00:00,2025-05-25,2025-05-23,DHL,WM637618587BR,2026-01-23T00:00:00
214,4008,entregue,2026-04-30T00:00:00,2026-05-06,2026-05-11,Loggi,TI553575799BR,2026-06-01T00:00:00
215,3497,entregue,2026-01-06T00:00:00,2026-01-14,2026-01-15,Latam Cargo,GR031874365BR,2026-02-08T00:00:00
216,5250,entregue,2023-09-09T00:00:00,2023-09-20,2023-09-20,Loggi,TK182365305BR,2025-06-11T00:00:00
217,5287,entregue,2025-09-23T00:00:00,2025-10-05,2025-10-09,DHL,GJ506295706BR,2025-10-29T00:00:00
218,10452,entregue,2024-12-27T00:00:00,2025-01-12,2025-01-17,Correios,LL111362860BR,2025-10-09T00:00:00
219,4041,entregue,2024-12-22T00:00:00,2024-12-30,2024-12-28,Total Express,JV665843846BR,2026-04-17T00:00:00
220,5402,entregue,2024-12-20T00:00:00,2025-01-02,2025-01-02,Azul Cargo,XL385153800BR,2025-06-17T00:00:00
221,8339,entregue,2023-08-02T00:00:00,2023-08-08,2023-08-13,Loggi,JG691354530BR,2023-11-17T00:00:00
222,2647,entregue,2023-08-30T00:00:00,2023-09-11,2023-09-16,Correios,VN463527733BR,2024-04-04T00:00:00
223,6130,pendente,2024-03-26T00:00:00,2024-04-03,,Total Express,UH009123695BR,2024-12-18T00:00:00
224,5073,entregue,2024-06-02T00:00:00,2024-06-05,2024-06-07,JadLog,XJ872995377BR,2026-05-28T00:00:00
225,9763,em_transito,2025-12-15T00:00:00,2025-12-30,,JadLog,NN871701054BR,2026-02-28T00:00:00
