id_pedido,id_cliente,data_pedido,status,valor_total,id_cupom,updated_at
55,7179,2023-04-26T00:00:00,processando,1764.51,6479.0,2025-05-16T00:00:00
56,2091,2023-08-26T00:00:00,entregue,1267.72,,2025-07-01T00:00:00
57,3770,2026-01-22T00:00:00,enviado,70.28,,2026-06-04T00:00:00
58,6999,2023-04-08T00:00:00,entregue,1573.07,,2024-09-01T00:00:00
59,2979,2026-01-04T00:00:00,entregue,2280.8,13404.0,2026-03-03T00:00:00
60,10904,2024-08-25T00:00:00,entregue,1101.39,,2025-05-18T00:00:00
61,10177,2024-04-14T00:00:00,entregue,1177.6,,2025-12-08T00:00:00
62,9562,2025-08-05T00:00:00,entregue,2320.45,,2025-12-26T00:00:00
63,8395,2024-05-02T00:00:00,entregue,1580.78,,2026-05-27T00:00:00
64,1539,2024-07-27T00:00:00,entregue,1666.16,,2026-03-29T00:00:00
65,14764,2026-01-23T00:00:00,cancelado,2128.99,,2026-02-16T00:00:00
66,4724,2025-12-07T00:00:00,processando,2367.61,,2026-03-18T00:00:00
67,12647,2024-12-06T00:00:00,pendente,122.22,393.0,2026-04-28T00:00:00
68,13075,2023-06-25T00:00:00,enviado,522.03,,2025-12-19T00:00:00
69,13554,2023-01-13T00:00:00,cancelado,2499.02,,2026-01-29T00:00:00
70,8920,2025-01-19T00:00:00,entregue,183.2,,2026-01-26T00:00:00
71,9008,2025-09-22T00:00:00,entregue,1560.01,,2026-05-01T00:00:00
72,11779,2024-08-31T00:00:00,entregue,1190.05,,2026-04-26T00:00:00
73,1092,2023-08-30T00:00:00,entregue,1985.02,,2024-12-02T00:00:00
74,14503,2024-11-24T00:00:00,entregue,2988.04,,2026-06-05T00:00:00
75,7461,2023-08-20T00:00:00,cancelado,2968.59,7373.0,2024-09-13T00:00:00
76,8795,2023-04-12T00:00:00,processando,1651.66,12826.0,2025-05-04T00:00:00
77,7280,2025-05-08T00:00:00,entregue,1545.87,,2025-11-13T00:00:00
78,8635,2025-06-15T00:00:00,enviado,196.97,3853.0,2025-12-03T00:00:00
79,11440,2023-07-12T00:00:00,entregue,1482.41,13271.0,2025-02-07T00:00:00
80,8874,2025-10-19T00:00:00,entregue,2940.79,1936.0,2026-02-28T00:00:00
81,9465,2023-07-29T00:00:00,cancelado,544.88,,2025-10-11T00:00:00
82,10764,2023-12-20T00:00:00,entregue,1041.4,,2025-12-13T00:00:00
83,4423,2024-09-15T00:00:00,entregue,2451.15,,2026-05-25T00:00:00
84,8178,2025-09-13T00:00:00,entregue,2395.51,,2025-10-12T00:00:00
85,5599,2024-06-29T00:00:00,entregue,1734.27,,2025-11-07T00:00:00
86,8815,2023-10-13T00:00:00,entregue,1741.06,,2024-08-22T00:00:00
87,10393,2025-10-10T00:00:00,enviado,1207.33,,2025-10-15T00:00:00
88,9402,2026-03-20T00:00:00,entregue,2487.93,,2026-04-03T00:00:00
89,7506,2026-03-28T00:00:00,cancelado,884.53,1414.0,2026-06-07T00:00:00
90,10211,2026-06-06T00:00:00,enviado,1521.24,,2026-06-09T00:00:00
91,4716,2023-08-08T00:00:00,entregue,2493.11,8671.0,2025-09-11T00:00:00
92,81,2023-10-18T00:00:00,entregue,2799.17,3333.0,2026-06-07T00:00:00
93,2254,2024-09-20T00:00:00,enviado,1451.33,,2025-07-08T00:00:00
94,4027,2025-11-05T00:00:00,entregue,1615.79,,2026-05-05T00:00:00
95,1359,2023-09-15T00:00:00,enviado,308.74,,2024-05-08T00:00:00
96,865,2024-06-19T00:00:00,entregue,2972.77,,2025-11-21T00:00:00
97,11796,2023-12-07T00:00:00,enviado,1317.19,,2025-07-27T00:00:00
98,8430,2025-06-12T00:00:00,enviado,1740.32,,2025-09-30T00:00:00
99,4554,2023-02-27T00:00:00,entregue,122.76,,2025-05-01T00:00:00
100,12838,2023-01-05T00:00:00,enviado,2520.51,8891.0,2023-04-14T00:00:00
101,6700,2025-03-04T00:00:00,enviado,2755.86,6988.0,2026-05-10T00:00:00
102,5901,2023-11-02T00:00:00,enviado,2808.79,13712.0,2024-06-22T00:00:00
103,3422,2025-02-16T00:00:00,processando,1945.19,,2025-11-13T00:00:00
104,4111,2025-11-18T00:00:00,cancelado,1713.42,,2025-12-22T00:00:00
105,146,2024-10-03T00:00:00,entregue,1144.6,,2026-03-07T00:00:00
106,3374,2025-12-23T00:00:00,entregue,2624.11,8100.0,2026-06-11T00:00:00
107,14637,2025-05-02T00:00:00,enviado,937.58,,2026-06-10T00:00:00
108,6536,2023-04-20T00:00:00,entregue,1303.45,,2025-03-23T00:00:00
109,8806,2024-06-10T00:00:00,entregue,957.17,,2025-07-14T00:00:00
110,1265,2025-02-23T00:00:00,enviado,953.91,10070.0,2025-08-15T00:00:00
111,8518,2025-08-16T00:00:00,entregue,2763.99,,2026-01-02T00:00:00
112,14353,2023-06-01T00:00:00,processando,316.69,,2024-07-16T00:00:00
113,6561,2024-11-14T00:00:00,entregue,1744.19,,2026-05-08T00:00:00
114,7509,2023-12-16T00:00:00,entregue,291.46,,2025-08-05T00:00:00
115,6914,2023-09-11T00:00:00,cancelado,285.26,,2024-02-03T00:00:00
116,2344,2025-11-13T00:00:00,entregue,1373.39,13809.0,2026-02-07T00:00:00
117,2666,2026-04-30T00:00:00,cancelado,2052.65,,2026-05-10T00:00:00
118,6905,2023-02-02T00:00:00,enviado,836.86,3397.0,2025-01-22T00:00:00
119,1465,2024-05-14T00:00:00,entregue,1942.66,,2026-05-01T00:00:00
120,6039,2025-01-11T00:00:00,cancelado,2339.29,,2026-05-08T00:00:00
121,13652,2023-09-29T00:00:00,entregue,858.83,,2025-03-10T00:00:00
122,11180,2023-11-06T00:00:00,entregue,1309.0,1496.0,2026-03-09T00:00:00
123,4670,2025-10-10T00:00:00,entregue,2516.25,,2026-03-15T00:00:00
124,11404,2026-02-03T00:00:00,entregue,1289.85,8832.0,2026-04-01T00:00:00
125,13586,2023-08-08T00:00:00,cancelado,2392.85,13601.0,2024-03-25T00:00:00
126,2003,2025-11-22T00:00:00,enviado,226.65,,2026-01-27T00:00:00
127,8808,2026-05-06T00:00:00,entregue,310.66,7624.0,2026-05-15T00:00:00
128,3725,2025-12-28T00:00:00,entregue,1980.2,,2025-12-28T00:00:00
129,9010,2026-02-08T00:00:00,entregue,1207.2,,2026-03-07T00:00:00
130,11164,2025-12-04T00:00:00,processando,65.95,,2026-01-05T00:00:00
131,1444,2026-04-03T00:00:00,entregue,2780.86,,2026-04-07T00:00:00
132,9137,2025-10-17T00:00:00,cancelado,2191.71,,2026-03-07T00:00:00
133,10362,2025-07-27T00:00:00,entregue,918.25,4879.0,2026-01-08T00:00:00
134,4118,2024-08-26T00:00:00,entregue,1119.76,,2025-09-04T00:00:00
135,2605,2026-02-15T00:00:00,enviado,22.5,,2026-05-20T00:00:00
136,4323,2025-11-17T00:00:00,entregue,141.29,,2026-03-19T00:00:00
137,2716,2023-06-03T00:00:00,entregue,2662.89,,2023-09-14T00:00:00
138,2977,2024-10-22T00:00:00,enviado,2000.63,6386.0,2025-04-20T00:00:00
139,7711,2025-02-19T00:00:00,entregue,2061.6,334.0,2025-05-05T00:00:00
140,8554,2024-08-06T00:00:00,entregue,341.31,,2026-01-19T00:00:00
141,2484,2025-03-22T00:00:00,enviado,363.2,,2025-04-14T00:00:00
142,14286,2026-02-18T00:00:00,cancelado,2293.77,6125.0,2026-05-03T00:00:00
143,8243,2024-01-24T00:00:00,processando,2983.48,,2025-02-27T00:00:00
144,6456,2026-01-26T00:00:00,entregue,1959.42,,2026-04-27T00:00:00
145,8115,2024-03-26T00:00:00,entregue,1917.13,,2026-04-01T00:00:00
146,6740,2024-02-02T00:00:00,enviado,162.7,,2024-06-29T00:00:00
147,4849,2025-10-03T00:00:00,entregue,838.64,,2025-12-28T00:00:00
148,7111,2023-03-18T00:00:00,enviado,70.38,,2024-01-13T00:00:00
149,14393,2024-09-04T00:00:00,entregue,1555.77,,2025-02-03T00:00:00
150,1273,2026-03-27T00:00:00,entregue,1166.86,,2026-03-27T00:00:00
151,10829,2025-05-30T00:00:00,entregue,2816.83,,2026-04-20T00:00:00
152,2728,2025-09-02T00:00:00,enviado,358.61,823.0,2025-12-08T00:00:00
153,3443,2024-02-18T00:00:00,cancelado,2291.96,,2026-05-19T00:00:00
154,13740,2025-04-17T00:00:00,entregue,2584.29,13518.0,2025-07-29T00:00:00
155,5491,2024-11-29T00:00:00,entregue,1180.36,8455.0,2025-02-06T00:00:00
156,7931,2025-12-12T00:00:00,enviado,2460.74,,2025-12-30T00:00:00
157,13741,2025-11-21T00:00:00,cancelado,760.57,,2026-04-20T00:00:00
158,12223,2025-04-17T00:00:00,cancelado,124.2,,2026-05-18T00:00:00
159,12257,2024-12-07T00:00:00,entregue,110.35,,2025-12-11T00:00:00
160,9410,2023-12-04T00:00:00,entregue,643.67,,2026-05-18T00:00:00
161,2023,2025-12-10T00:00:00,entregue,2550.21,2575.0,2026-03-29T00:00:00
162,10545,2024-07-16T00:00:00,enviado,2712.21,,2026-04-28T00:00:00
163,3444,2025-05-22T00:00:00,entregue,2892.52,,2026-04-20T00:00:00
164,12151,2025-05-27T00:00:00,cancelado,348.61,,2026-01-07T00:00:00
165,9359,2023-02-08T00:00:00,entregue,630.11,,2024-12-17T00:00:00
166,4698,2025-04-14T00:00:00,entregue,908.38,,2026-05-16T00:00:00
167,9832,2025-05-15T00:00:00,entregue,1415.7,,2025-12-14T00:00:00
168,12549,2023-02-01T00:00:00,cancelado,1894.29,,2023-08-22T00:00:00
169,13856,2025-07-30T00:00:00,entregue,2267.41,,2025-09-30T00:00:00
170,12903,2026-01-21T00:00:00,entregue,2794.36,,2026-04-21T00:00:00
171,5323,2024-05-17T00:00:00,entregue,306.9,,2024-06-24T00:00:00
172,11383,2023-12-02T00:00:00,enviado,2687.21,7812.0,2025-04-12T00:00:00
173,13685,2026-05-11T00:00:00,cancelado,1302.61,,2026-06-04T00:00:00
174,13916,2024-06-18T00:00:00,entregue,325.32,,2026-02-17T00:00:00
175,13179,2025-12-30T00:00:00,entregue,2904.9,,2026-01-15T00:00:00
176,10966,2023-01-10T00:00:00,processando,191.5,1427.0,2026-04-13T00:00:00
177,6467,2023-06-28T00:00:00,processando,1926.13,,2025-04-22T00:00:00
178,11677,2023-09-18T00:00:00,cancelado,93.32,,2025-06-29T00:00:00
179,8146,2025-10-23T00:00:00,enviado,665.2,,2026-06-04T00:00:00
180,6576,2023-11-27T00:00:00,enviado,1515.41,6387.0,2024-02-21T00:00:00
181,5280,2024-02-28T00:00:00,entregue,956.34,,2025-01-25T00:00:00
182,13882,2026-03-21T00:00:00,cancelado,872.24,,2026-05-22T00:00:00
183,13480,2023-07-11T00:00:00,entregue,346.66,,2024-03-06T00:00:00
184,9055,2023-08-31T00:00:00,entregue,1838.58,,2024-09-24T00:00:00
185,6005,2026-01-15T00:00:00,entregue,905.9,,2026-01-17T00:00:00
186,13378,2024-12-21T00:00:00,entregue,565.6,,2025-05-18T00:00:00
187,10812,2025-12-08T00:00:00,pendente,315.93,7765.0,2026-05-20T00:00:00
188,9076,2023-02-03T00:00:00,entregue,526.8,,2025-06-20T00:00:00
189,6936,2026-04-09T00:00:00,entregue,2828.67,11245.0,2026-05-21T00:00:00
190,5621,2025-02-14T00:00:00,cancelado,1384.77,,2025-12-27T00:00:00
191,1289,2024-07-29T00:00:00,processando,1083.68,10897.0,2026-05-31T00:00:00
192,11715,2024-07-08T00:00:00,enviado,2761.45,,2024-11-23T00:00:00
193,12379,2026-02-23T00:00:00,enviado,244.19,4152.0,2026-03-07T00:00:00
194,1177,2024-11-18T00:00:00,cancelado,2240.03,,2025-11-24T00:00:00
195,9873,2023-05-18T00:00:00,entregue,231.84,3953.0,2023-07-07T00:00:00
196,1914,2023-06-14T00:00:00,entregue,868.94,,2023-12-17T00:00:00
197,8241,2024-06-08T00:00:00,cancelado,576.98,,2025-11-21T00:00:00
198,103,2025-07-27T00:00:00,enviado,1610.45,,2026-01-02T00:00:00
199,4932,2025-08-15T00:00:00,entregue,2521.67,6425.0,2025-11-20T00:00:00
200,6225,2024-02-25T00:00:00,entregue,830.7,,2026-01-28T00:00:00
201,4616,2024-11-25T00:00:00,enviado,253.15,,2025-04-12T00:00:00
202,9637,2025-08-30T00:00:00,cancelado,1408.52,,2026-04-03T00:00:00
203,12370,2023-02-27T00:00:00,pendente,1139.53,,2025-05-05T00:00:00
204,13067,2023-10-01T00:00:00,enviado,2310.54,5410.0,2023-11-10T00:00:00
205,2807,2026-02-23T00:00:00,entregue,770.47,4337.0,2026-04-26T00:00:00
206,12354,2024-09-23T00:00:00,entregue,1329.44,,2025-03-18T00:00:00
207,14700,2025-08-21T00:00:00,entregue,2414.88,13364.0,2026-05-16T00:00:00
208,13813,2024-12-30T00:00:00,entregue,1743.46,1012.0,2025-04-14T00:00:00
209,14778,2025-11-17T00:00:00,entregue,786.31,,2025-12-23T00:00:00
210,14251,2025-07-19T00:00:00,processando,2223.16,,2025-07-30T00:00:00
211,7443,2024-09-23T00:00:00,entregue,1749.84,,2025-10-19T00:00:00
212,4833,2026-02-01T00:00:00,entregue,1178.75,,2026-06-01T00:00:00
213,7277,2023-10-18T00:00:00,enviado,1714.06,,2026-02-23T00:00:00
214,3960,2025-12-11T00:00:00,entregue,2378.01,,2026-03-19T00:00:00
215,2625,2023-06-29T00:00:00,processando,2931.94,10264.0,2024-04-09T00:00:00
216,5062,2023-12-26T00:00:00,entregue,1040.16,,2026-04-14T00:00:00
217,8949,2026-02-18T00:00:00,entregue,1642.01,,2026-05-09T00:00:00
218,164,2025-03-19T00:00:00,entregue,2517.39,,2025-10-09T00:00:00
219,2997,2023-10-04T00:00:00,entregue,1182.86,,2023-12-20T00:00:00
220,2614,2024-11-08T00:00:00,entregue,2574.48,,2025-05-29T00:00:00
221,8243,2025-08-25T00:00:00,entregue,1196.78,,2025-11-06T00:00:00
222,11883,2025-11-02T00:00:00,enviado,843.91,,2026-03-18T00:00:00
223,8600,2025-06-09T00:00:00,cancelado,2144.74,,2026-05-12T00:00:00
224,10442,2025-09-02T00:00:00,entregue,2572.0,,2026-03-28T00:00:00
225,4614,2023-05-25T00:00:00,entregue,1080.9,8243.0,2026-01-23T00:00:00
226,5861,2024-01-29T00:00:00,entregue,2980.19,,2025-08-07T00:00:00
227,8826,2025-03-13T00:00:00,processando,472.02,,2025-04-23T00:00:00
228,3804,2025-10-28T00:00:00,entregue,1357.27,,2025-12-07T00:00:00
229,5989,2024-08-20T00:00:00,entregue,1782.27,,2026-02-13T00:00:00
230,3269,2023-11-10T00:00:00,cancelado,1265.71,,2023-11-24T00:00:00
231,9670,2026-02-14T00:00:00,entregue,2857.56,,2026-02-18T00:00:00
232,12335,2026-05-17T00:00:00,processando,1053.07,,2026-06-01T00:00:00
233,14985,2024-12-15T00:00:00,cancelado,780.72,,2026-05-26T00:00:00
234,2969,2023-04-25T00:00:00,entregue,2304.44,,2025-07-09T00:00:00
235,5475,2026-06-06T00:00:00,enviado,391.91,,2026-06-06T00:00:00
236,12047,2023-06-16T00:00:00,entregue,1960.01,,2024-04-19T00:00:00
237,9527,2024-03-01T00:00:00,pendente,841.1,,2024-05-19T00:00:00
238,4523,2024-09-06T00:00:00,processando,1295.29,,2025-06-24T00:00:00
239,14494,2023-06-07T00:00:00,entregue,1094.12,,2025-01-31T00:00:00
240,4551,2026-06-07T00:00:00,processando,452.74,,2026-06-11T00:00:00
241,11901,2025-09-10T00:00:00,enviado,1291.09,,2025-11-29T00:00:00
242,7867,2025-12-18T00:00:00,cancelado,1220.71,,2026-06-02T00:00:00
243,12275,2026-06-06T00:00:00,processando,679.96,,2026-06-09T00:00:00
244,1748,2025-11-11T00:00:00,enviado,2988.81,,2026-03-23T00:00:00
245,7126,2026-04-17T00:00:00,processando,2651.61,6047.0,2026-06-11T00:00:00
246,7999,2024-05-06T00:00:00,entregue,1161.7,,2025-03-18T00:00:00
247,7245,2024-11-21T00:00:00,processando,2659.53,5928.0,2025-08-05T00:00:00
248,14775,2025-10-02T00:00:00,entregue,2562.02,,2026-03-07T00:00:00
249,12911,2023-05-06T00:00:00,processando,2563.07,,2023-08-01T00:00:00
250,12208,2026-03-24T00:00:00,entregue,2370.99,,2026-05-07T00:00:00
251,8693,2026-02-24T00:00:00,entregue,1399.1,,2026-03-12T00:00:00
252,3155,2023-01-29T00:00:00,entregue,1713.23,,2026-03-07T00:00:00
253,7244,2025-06-27T00:00:00,enviado,88.78,,2025-11-08T00:00:00
254,14441,2024-07-28T00:00:00,processando,1789.9,,2024-08-19T00:00:00
255,7887,2026-01-13T00:00:00,cancelado,925.91,,2026-05-05T00:00:00
256,195,2024-11-21T00:00:00,cancelado,842.02,4811.0,2026-03-31T00:00:00
257,5766,2023-03-31T00:00:00,enviado,1533.15,,2023-06-13T00:00:00
258,9909,2026-06-02T00:00:00,entregue,2366.42,,2026-06-06T00:00:00
259,2557,2024-04-30T00:00:00,cancelado,260.11,,2024-10-19T00:00:00
260,3148,2023-03-20T00:00:00,entregue,2135.08,,2023-11-03T00:00:00
261,742,2023-01-11T00:00:00,entregue,2961.47,,2023-04-02T00:00:00
262,3868,2024-07-09T00:00:00,entregue,1468.02,,2025-04-02T00:00:00
263,492,2025-04-02T00:00:00,entregue,2477.01,,2026-06-06T00:00:00
264,13206,2024-06-23T00:00:00,entregue,2559.83,,2024-11-28T00:00:00
265,6960,2025-01-07T00:00:00,entregue,1455.87,11908.0,2025-09-29T00:00:00
266,8254,2025-03-17T00:00:00,enviado,2737.9,,2025-12-05T00:00:00
267,12244,2025-08-14T00:00:00,cancelado,1383.17,,2026-03-20T00:00:00
268,10759,2025-02-25T00:00:00,cancelado,2872.34,,2025-12-02T00:00:00
269,1966,2024-10-17T00:00:00,cancelado,968.94,,2026-02-23T00:00:00
270,701,2023-06-16T00:00:00,entregue,1499.03,,2024-07-01T00:00:00
271,4716,2024-08-28T00:00:00,enviado,2364.32,7919.0,2025-03-16T00:00:00
272,5332,2023-08-16T00:00:00,entregue,918.19,,2025-10-11T00:00:00
273,2029,2023-08-10T00:00:00,pendente,808.71,,2025-08-01T00:00:00
274,3114,2023-08-11T00:00:00,cancelado,2920.1,12808.0,2023-09-20T00:00:00
275,6852,2023-07-04T00:00:00,entregue,1556.91,12830.0,2024-03-16T00:00:00
276,5446,2025-09-19T00:00:00,cancelado,1733.56,,2026-02-23T00:00:00
277,13394,2023-01-08T00:00:00,entregue,1758.18,,2026-03-22T00:00:00
278,5762,2025-08-27T00:00:00,processando,1870.78,11546.0,2025-10-01T00:00:00
279,670,2024-02-06T00:00:00,entregue,2492.66,10922.0,2025-03-29T00:00:00
280,2491,2025-02-20T00:00:00,enviado,534.61,,2026-01-22T00:00:00
281,7775,2023-09-05T00:00:00,enviado,1068.86,,2024-04-19T00:00:00
282,11771,2023-07-06T00:00:00,entregue,2332.86,,2024-03-10T00:00:00
283,14572,2026-03-24T00:00:00,pendente,1974.16,3977.0,2026-04-28T00:00:00
284,4669,2023-04-05T00:00:00,enviado,2825.11,8901.0,2026-02-22T00:00:00
285,14095,2025-07-15T00:00:00,entregue,1331.92,,2025-08-22T00:00:00
286,8391,2024-12-03T00:00:00,entregue,819.23,,2025-09-22T00:00:00
287,11032,2023-10-25T00:00:00,entregue,321.14,,2026-01-05T00:00:00
288,12844,2024-03-31T00:00:00,processando,2603.98,12863.0,2024-06-19T00:00:00
289,4938,2023-07-29T00:00:00,cancelado,184.64,,2025-10-22T00:00:00
290,1739,2024-04-08T00:00:00,entregue,1754.65,,2025-05-26T00:00:00
291,12984,2024-04-26T00:00:00,entregue,585.86,,2025-06-30T00:00:00
292,1075,2024-01-05T00:00:00,cancelado,426.69,7107.0,2025-07-03T00:00:00
293,10371,2024-08-25T00:00:00,enviado,147.7,,2024-11-16T00:00:00
294,741,2024-04-09T00:00:00,entregue,2948.24,,2024-09-06T00:00:00
295,12845,2023-02-14T00:00:00,processando,2393.68,,2024-03-11T00:00:00
296,7800,2023-02-26T00:00:00,processando,2426.06,,2023-04-27T00:00:00
297,4245,2024-06-24T00:00:00,cancelado,1494.66,,2025-10-27T00:00:00
298,10825,2024-08-09T00:00:00,entregue,2360.71,13017.0,2026-01-19T00:00:00
299,11161,2025-10-15T00:00:00,entregue,2674.5,,2026-03-04T00:00:00
300,14300,2025-05-06T00:00:00,cancelado,651.06,14456.0,2026-04-23T00:00:00
301,7388,2023-12-19T00:00:00,enviado,889.91,,2024-12-11T00:00:00
302,6822,2025-07-20T00:00:00,enviado,659.4,,2026-01-17T00:00:00
303,7146,2026-06-04T00:00:00,pendente,783.03,,2026-06-10T00:00:00
304,46,2023-09-22T00:00:00,cancelado,105.93,,2024-08-28T00:00:00
305,4413,2026-01-20T00:00:00,cancelado,81.11,,2026-04-07T00:00:00
306,8965,2024-11-29T00:00:00,entregue,1876.13,7733.0,2025-01-17T00:00:00
307,11719,2023-05-14T00:00:00,entregue,2198.33,,2026-01-05T00:00:00
308,13263,2023-06-03T00:00:00,enviado,2408.32,2822.0,2026-02-03T00:00:00
309,13601,2024-02-14T00:00:00,enviado,1823.86,,2025-08-21T00:00:00
310,3119,2025-03-24T00:00:00,processando,1010.21,,2025-11-19T00:00:00
311,10316,2024-04-11T00:00:00,entregue,1428.51,,2026-01-25T00:00:00
312,7251,2025-08-26T00:00:00,entregue,300.43,,2025-09-22T00:00:00
313,8614,2024-12-21T00:00:00,processando,1799.0,,2024-12-26T00:00:00
314,11135,2026-05-21T00:00:00,entregue,1839.65,,2026-05-21T00:00:00
315,5720,2025-01-21T00:00:00,entregue,2213.77,,2025-06-17T00:00:00
316,83,2023-06-01T00:00:00,entregue,34.25,,2026-05-24T00:00:00
317,8051,2023-07-01T00:00:00,cancelado,867.7,6434.0,2025-05-28T00:00:00
318,5546,2026-04-17T00:00:00,processando,233.02,,2026-05-29T00:00:00
319,4786,2024-11-28T00:00:00,enviado,1367.92,13128.0,2025-10-22T00:00:00
320,6591,2025-09-16T00:00:00,enviado,335.95,,2026-05-11T00:00:00
321,14094,2024-02-09T00:00:00,entregue,2748.72,4157.0,2025-03-26T00:00:00
322,13101,2023-01-16T00:00:00,entregue,833.12,,2023-05-19T00:00:00
323,4250,2024-09-28T00:00:00,cancelado,2316.09,,2026-04-10T00:00:00
324,99,2024-05-17T00:00:00,entregue,2700.8,,2026-04-10T00:00:00
325,4355,2023-06-29T00:00:00,enviado,1107.52,,2024-11-22T00:00:00
326,10650,2023-05-28T00:00:00,entregue,342.12,1931.0,2024-04-29T00:00:00
327,4896,2026-04-06T00:00:00,cancelado,2961.42,,2026-05-25T00:00:00
328,9762,2023-01-27T00:00:00,cancelado,847.97,,2025-01-24T00:00:00
329,10205,2024-05-23T00:00:00,processando,1818.8,,2024-09-12T00:00:00
330,515,2023-10-24T00:00:00,enviado,207.69,,2024-02-12T00:00:00
331,6780,2025-12-05T00:00:00,entregue,801.15,,2025-12-16T00:00:00
332,4515,2024-07-09T00:00:00,enviado,1464.32,,2026-05-26T00:00:00
333,10505,2024-05-08T00:00:00,entregue,1198.46,12475.0,2026-03-25T00:00:00
334,8134,2023-03-27T00:00:00,cancelado,419.37,,2024-07-10T00:00:00
