id_produto,nome_produto,descricao,preco,estoque,id_categoria,id_fornecedor,marca,peso_kg,updated_at
21,Mondial Ultra Aperiam 449,Sapiente delectus a cum omnis quisquam omnis maiores quam debitis maiores officiis ex.,4457.14,84,12441,13993,Mondial,23.28,2026-03-05T00:00:00
22,Dell Ultra Ad 8578,Officiis at accusantium et nulla laudantium.,2665.56,306,5745,2453,Dell,17.36,2024-01-26T00:00:00
23,Tramontina Super Expedita 9892,Consequatur corrupti corrupti sint odit praesentium eveniet alias quis unde dolore minima eveniet.,4193.11,226,2006,9806,Tramontina,27.67,2023-10-21T00:00:00
24,Havaianas Turbo Nihil 2448,Magni voluptatibus cumque quo eligendi autem sequi.,956.8,212,3304,4717,Havaianas,0.85,2024-09-09T00:00:00
25,Lenovo Smart Iure 4843,Accusantium dignissimos libero delectus amet dolorem nostrum corrupti.,30.69,427,4508,12658,Lenovo,21.22,2025-03-29T00:00:00
26,Intelbras Lite Error 1707,Nam nisi pariatur vitae placeat rerum magni mollitia dolorum vitae.,2096.02,284,1523,7683,Intelbras,28.09,2025-08-07T00:00:00
27,Sony Max Sapiente 835,Vitae necessitatibus suscipit officiis ad iure dolorum laudantium laborum.,2808.71,319,14010,3407,Sony,17.69,2025-07-16T00:00:00
28,Philips Pro Similique 7981,Nemo nemo aut odio in consequuntur cupiditate a.,3120.94,8,9080,12734,Philips,2.3,2024-06-09T00:00:00
29,Braun Turbo Impedit 7330,Hic modi sequi aperiam consequuntur alias labore iste accusantium et ducimus.,1612.47,321,7401,6668,Braun,1.98,2025-09-17T00:00:00
30,Dell Pro Doloremque 2940,Unde vel inventore harum enim exercitationem consequatur aspernatur ratione doloremque placeat.,129.31,37,1771,5156,Dell,18.86,2023-01-11T00:00:00
31,Puma Premium Architecto 9866,Incidunt et sint fugiat exercitationem ut delectus.,2248.36,356,8743,6382,Puma,5.8,2024-12-26T00:00:00
32,Arno Turbo Veritatis 279,Reprehenderit odio autem incidunt repellendus architecto illo porro earum vitae similique.,4340.82,477,10173,13161,Arno,12.99,2023-08-16T00:00:00
33,Adidas Pro Molestiae 6555,Recusandae est vero totam minus quod inventore quibusdam.,904.72,58,10821,6357,Adidas,12.8,2023-05-24T00:00:00
34,Philips Turbo Accusamus 9383,Laudantium magni temporibus aliquid qui dignissimos temporibus repellat praesentium tenetur exercitationem nisi eveniet.,1835.51,474,6723,1277,Philips,1.43,2024-12-31T00:00:00
35,Oster Plus Alias 7954,Eveniet porro incidunt consequuntur nulla officia aliquid occaecati dolore voluptate.,34.52,239,10734,5617,Oster,23.07,2023-11-23T00:00:00
36,Motorola Plus Repellendus 8551,Ab ipsa totam quam eveniet repudiandae omnis.,3470.32,496,8440,6124,Motorola,19.64,2024-01-01T00:00:00
37,Havaianas Lite Blanditiis 417,Magnam quasi sapiente quos ratione dolore ipsam dolorem ut voluptates.,113.86,73,358,8210,Havaianas,9.54,2023-07-06T00:00:00
38,Oster Slim Modi 4171,Explicabo eaque blanditiis animi atque veniam praesentium eius vitae animi.,3836.6,67,13509,2492,Oster,18.36,2026-06-02T00:00:00
39,Nike Pro At 1952,Repudiandae architecto natus iste molestiae eligendi suscipit assumenda rerum.,1631.96,448,12493,13740,Nike,27.82,2023-03-18T00:00:00
40,Nike Premium Debitis 8708,Voluptate a vero officiis enim porro quia repudiandae velit.,167.72,214,1624,8315,Nike,6.76,2025-12-03T00:00:00
41,Adidas Plus Tenetur 4702,Dignissimos corporis nostrum ratione reiciendis facilis ut.,3992.44,93,287,3404,Adidas,10.47,2024-11-09T00:00:00
42,Xiaomi Plus Soluta 923,Beatae soluta nemo iste quibusdam consequuntur illo est velit vitae laudantium.,1149.88,317,2460,11349,Xiaomi,6.44,2026-06-09T00:00:00
43,Arno Super Voluptatibus 3346,Fugit eos nobis ex ullam quaerat rerum saepe similique a.,3337.17,260,9356,9030,Arno,2.21,2026-03-09T00:00:00
44,Intelbras Max Maxime 9954,Eum aut omnis occaecati saepe earum sunt.,1479.86,292,8166,14577,Intelbras,9.76,2025-03-27T00:00:00
45,Xiaomi Premium Quam 2032,Voluptate reiciendis reiciendis delectus occaecati pariatur voluptatibus perferendis.,2319.55,363,8021,7772,Xiaomi,14.65,2024-05-24T00:00:00
46,Oster Plus Soluta 9508,Expedita vitae assumenda a iste porro dolorem velit accusantium.,3759.91,51,7842,10380,Oster,22.02,2024-09-23T00:00:00
47,Braun Plus Iusto 2933,Eaque dolorum quis ad blanditiis fugiat recusandae repudiandae neque commodi nihil amet culpa saepe.,441.2,217,6407,4063,Braun,16.04,2024-08-29T00:00:00
48,Tramontina Premium Perspiciatis 2407,Similique aliquid beatae animi quibusdam quo.,2632.29,243,2656,7424,Tramontina,3.29,2023-09-03T00:00:00
49,Oster Ultra Officia 4280,Quibusdam sint ipsam repellat temporibus occaecati assumenda necessitatibus commodi debitis at dicta.,1867.4,472,1321,2621,Oster,13.03,2025-05-17T00:00:00
50,Electrolux Lite Alias 4809,Nulla earum vel optio vel architecto repudiandae doloremque.,2251.8,68,10914,1302,Electrolux,9.2,2025-01-11T00:00:00
51,Multilaser Max Aliquid 2169,Totam ipsum magni voluptatem explicabo minus doloremque labore illum veniam.,3420.23,430,10692,1856,Multilaser,12.82,2023-04-09T00:00:00
52,Havaianas Smart Facilis 5711,Atque deserunt deleniti atque quis velit deserunt repellendus sunt porro consequuntur.,4001.29,231,11120,6557,Havaianas,24.68,2024-01-15T00:00:00
53,Panasonic Pro Nesciunt 6774,Id accusantium maxime placeat impedit quod praesentium atque perferendis ullam.,2130.16,34,6486,6590,Panasonic,23.21,2025-09-24T00:00:00
54,Intelbras Lite Inventore 6894,Occaecati voluptates sequi quod nesciunt illo aperiam natus cupiditate occaecati corrupti.,4816.24,115,12970,12491,Intelbras,9.43,2025-03-01T00:00:00
55,LG Pro Doloremque 8745,Quas quidem corrupti exercitationem officia provident ut excepturi architecto.,1952.77,432,12273,248,LG,25.51,2025-05-31T00:00:00
56,Samsung Turbo Minima 8114,Ipsam quidem modi voluptate vel fugit cumque exercitationem.,374.64,461,3000,754,Samsung,28.32,2025-06-08T00:00:00
57,Electrolux Max Temporibus 2110,Nam adipisci a excepturi laboriosam autem et esse dolorem.,4510.92,357,2757,14904,Electrolux,14.89,2024-12-20T00:00:00
58,Mondial Super Vel 5478,Atque ex minima perferendis veritatis harum libero soluta optio natus expedita.,2165.94,167,7723,11317,Mondial,14.3,2025-03-03T00:00:00
59,Sony Plus Vero 2430,Atque rerum temporibus consectetur assumenda soluta debitis temporibus minima hic totam nobis.,3081.66,373,10336,1255,Sony,6.72,2023-04-02T00:00:00
60,Britânia Pro Possimus 261,Incidunt esse repudiandae excepturi provident suscipit.,4098.0,369,12631,5385,Britânia,16.61,2025-10-17T00:00:00
61,Motorola Max Repudiandae 1462,Sunt mollitia hic facilis culpa aliquam ratione neque reiciendis pariatur in fuga.,1699.4,399,6030,12902,Motorola,11.5,2023-07-26T00:00:00
62,Mondial Slim Consequuntur 3307,Laborum ad est natus facilis quia.,1137.67,179,5818,13036,Mondial,8.0,2025-02-19T00:00:00
63,LG Premium Nesciunt 6622,Quisquam eum officiis sit exercitationem quae autem.,483.23,359,8704,4515,LG,23.37,2023-07-27T00:00:00
64,Multilaser Premium Eligendi 6930,Quos sed harum quas nihil eius voluptatibus beatae quaerat id necessitatibus exercitationem consequuntur.,4530.59,418,5061,13536,Multilaser,0.85,2023-05-09T00:00:00
65,Positivo Super Consectetur 7529,Tempore quod eius expedita et alias debitis fuga veritatis.,4286.7,15,14560,7831,Positivo,2.59,2024-08-02T00:00:00
66,Panasonic Plus Praesentium 4989,Deserunt accusamus earum reprehenderit aperiam nisi consequatur vel minima.,4888.54,14,10697,12202,Panasonic,8.69,2023-01-12T00:00:00
67,Xiaomi Pro Dolores 1577,Eos ipsam doloremque eligendi ea ut fugiat itaque.,1027.32,58,10061,9650,Xiaomi,23.63,2023-10-30T00:00:00
68,Lenovo Lite Aut 6096,Aut provident consequatur nesciunt praesentium quisquam assumenda qui rem cupiditate dolorem.,1263.37,58,10994,14360,Lenovo,12.93,2025-05-21T00:00:00
69,HP Slim Praesentium 8101,Laboriosam similique consectetur consequuntur ipsum numquam modi corporis distinctio quidem.,706.01,447,5114,1527,HP,28.21,2025-04-04T00:00:00
70,Arno Slim Asperiores 4396,Porro magni corporis accusamus voluptates adipisci quibusdam totam temporibus numquam aliquid doloribus exercitationem.,3537.37,125,4843,12929,Arno,18.15,2025-02-15T00:00:00
71,Havaianas Premium Ducimus 3507,Fuga officia repudiandae corrupti eum eos corrupti beatae.,3581.19,441,767,86,Havaianas,12.31,2026-05-22T00:00:00
72,Philips Ultra Molestiae 7672,Maxime delectus ratione sequi itaque eveniet minima eum exercitationem debitis autem soluta fugit.,508.44,322,14536,13730,Philips,19.69,2024-06-05T00:00:00
73,Lenovo Turbo Doloribus 2770,In fuga quod neque quaerat nemo.,4870.92,409,11761,3047,Lenovo,5.65,2023-06-07T00:00:00
74,Xiaomi Smart Et 5445,Possimus eveniet eaque maxime laudantium aut.,3125.64,178,13991,4339,Xiaomi,2.63,2024-08-28T00:00:00
75,Samsung Max Ullam 7511,Aperiam unde mollitia dolor non nemo deleniti tenetur perspiciatis delectus necessitatibus quaerat alias.,3272.08,437,4143,333,Samsung,23.92,2024-04-08T00:00:00
76,Havaianas Lite Ad 7824,Explicabo assumenda molestiae corrupti voluptatibus temporibus beatae delectus.,1257.65,11,1909,8128,Havaianas,11.41,2023-02-16T00:00:00
77,Lenovo Turbo Similique 2555,Sed suscipit odio consequatur quidem autem placeat quod harum et minima.,2904.37,271,9701,8833,Lenovo,1.66,2023-09-14T00:00:00
78,Braun Smart Totam 8020,Incidunt laboriosam debitis suscipit illum nisi expedita nemo ducimus dicta.,163.59,23,7380,1803,Braun,8.51,2025-01-05T00:00:00
79,Tramontina Lite Enim 2008,Atque repellendus dolorem enim pariatur aliquid natus hic.,2305.04,384,657,14137,Tramontina,12.57,2025-11-04T00:00:00
80,Lenovo Premium Maiores 5684,Incidunt dolores blanditiis laboriosam ipsa facilis ad vero repellendus sapiente quisquam sit.,3157.8,165,9306,12849,Lenovo,3.88,2023-06-22T00:00:00
81,Braun Pro Excepturi 1755,Dolor perspiciatis cum velit sunt enim.,1008.82,101,10101,4424,Braun,0.95,2023-02-20T00:00:00
82,Oster Max Molestiae 1208,Non sapiente cum error exercitationem repellat rem quo sapiente laudantium dignissimos corporis.,473.75,154,541,6360,Oster,27.41,2024-04-18T00:00:00
83,Positivo Turbo Quam 8201,Natus quibusdam ipsum ad perspiciatis at culpa dolor officia aliquam eligendi odit.,1775.63,391,3853,12934,Positivo,14.29,2025-12-22T00:00:00
84,Multilaser Plus Corrupti 5707,Quasi quasi ipsum iste fugiat quisquam corrupti corporis eaque ea.,3669.43,48,13664,3186,Multilaser,9.11,2025-06-16T00:00:00
85,LG Pro Repellat 2838,Assumenda nobis ratione nulla est consequatur exercitationem soluta mollitia.,985.3,353,7846,2267,LG,7.12,2026-06-01T00:00:00
86,Multilaser Smart A 6627,Minus dolor error quasi reprehenderit eius.,2689.97,267,7606,11169,Multilaser,5.27,2026-03-15T00:00:00
87,Apple Ultra Doloremque 9481,Sint consequatur reprehenderit saepe consectetur nam.,476.93,472,666,5020,Apple,24.76,2023-10-08T00:00:00
88,Panasonic Slim Ducimus 1906,Nihil sunt totam ea qui eligendi.,3902.6,353,6609,709,Panasonic,1.95,2026-04-14T00:00:00
89,Arno Plus Sunt 9584,Repudiandae amet nam esse minus repellendus rerum voluptatem eum aspernatur delectus adipisci est.,3140.13,318,2745,13704,Arno,26.1,2023-11-02T00:00:00
90,Dell Lite Molestias 2578,Facere similique a sunt repellendus quae incidunt.,68.43,361,9092,2263,Dell,10.25,2023-02-15T00:00:00
91,Sony Super At 6241,Atque eius fugit necessitatibus quo quidem quod.,3480.07,426,12384,10827,Sony,16.09,2025-06-26T00:00:00
92,Xiaomi Max Quaerat 6326,Sunt recusandae natus inventore voluptas cupiditate illum enim sit occaecati.,3945.23,176,10508,4977,Xiaomi,16.85,2025-08-25T00:00:00
93,Samsung Premium Consequatur 5642,Pariatur tempore praesentium eum voluptatem nam ab maiores optio.,3368.11,445,5219,5041,Samsung,3.34,2023-08-04T00:00:00
94,Nike Smart Quam 1672,Earum neque nobis deleniti quisquam alias doloremque temporibus vitae.,4545.65,202,11003,4467,Nike,28.54,2025-12-12T00:00:00
95,Electrolux Slim Iste 9361,Ratione magnam quos eos porro officia.,4001.98,348,7791,1538,Electrolux,17.05,2024-08-08T00:00:00
96,Motorola Turbo Vero 2249,Quas quos possimus blanditiis sunt ducimus eveniet delectus sunt modi officiis rerum itaque.,380.13,92,3203,14810,Motorola,0.55,2024-06-03T00:00:00
97,Intelbras Smart Officia 2030,Nemo illum saepe sed autem atque repudiandae eos asperiores natus.,4565.54,253,113,7019,Intelbras,1.0,2026-05-15T00:00:00
98,Nike Super Harum 5613,Quod quia quisquam porro deleniti ut ex assumenda vero velit.,2597.35,300,8356,14493,Nike,5.78,2025-05-14T00:00:00
99,Motorola Smart Maiores 6072,Rerum cumque commodi modi molestiae laborum.,1373.56,253,12910,6459,Motorola,17.35,2023-03-20T00:00:00
100,Lenovo Ultra Molestiae 8854,Dolor voluptas quidem fuga explicabo accusamus rerum odio quo labore earum.,2097.57,157,1613,233,Lenovo,14.66,2025-02-03T00:00:00
101,Samsung Super Maxime 5204,Velit cupiditate nemo rem sapiente accusantium doloribus nihil ducimus reprehenderit eveniet numquam.,4171.4,135,12177,10949,Samsung,12.52,2025-01-15T00:00:00
102,LG Ultra Ipsum 9003,Animi est harum quam commodi expedita fugit fugiat amet expedita recusandae numquam explicabo.,4367.75,14,11690,3770,LG,3.26,2024-12-06T00:00:00
103,Tramontina Super Velit 2384,Pariatur quisquam inventore molestiae et aliquid explicabo pariatur ducimus sint asperiores saepe beatae.,4256.96,110,11891,8374,Tramontina,17.7,2025-03-05T00:00:00
104,Adidas Premium Eligendi 1989,Eveniet illo illo laborum facere corporis provident quibusdam assumenda ex.,228.16,202,6067,9278,Adidas,1.68,2025-08-06T00:00:00
105,Braun Plus Similique 2563,Iste inventore ullam nobis repudiandae vero doloribus eum.,466.13,271,5722,3157,Braun,9.5,2024-07-26T00:00:00
106,Apple Super Repellendus 3060,Enim dolorem est aut laudantium natus enim animi.,95.61,255,4903,3211,Apple,3.84,2024-10-17T00:00:00
107,Oster Lite Quia 3476,Possimus aperiam possimus occaecati libero exercitationem vitae.,4101.65,301,9811,10087,Oster,4.18,2023-05-06T00:00:00
108,Sony Turbo Veritatis 2229,Eveniet amet facere corrupti inventore totam voluptatum non explicabo modi eveniet.,866.39,151,14184,7262,Sony,7.79,2024-04-05T00:00:00
109,HP Lite Doloribus 4709,Necessitatibus veritatis soluta omnis illo quasi nihil a iste quia eos fugit.,1301.28,193,8311,7513,HP,13.21,2025-07-09T00:00:00
110,Multilaser Pro Hic 2156,Facilis qui doloribus consectetur cumque distinctio eveniet quam.,3531.96,214,9619,2215,Multilaser,20.98,2023-10-07T00:00:00
111,HP Pro Saepe 1433,Debitis sequi dignissimos error natus reiciendis necessitatibus quis neque sapiente voluptatem.,3691.3,87,7851,3722,HP,27.08,2024-10-20T00:00:00
112,Dell Ultra Ea 8018,Saepe non sint vitae alias reiciendis voluptas ut.,3526.57,66,2320,7324,Dell,21.08,2026-04-03T00:00:00
113,Electrolux Turbo Eos 7542,Ea placeat praesentium libero deserunt delectus pariatur eum architecto.,733.39,487,12376,7405,Electrolux,24.34,2024-03-04T00:00:00
114,Britânia Turbo Consequatur 1517,Totam incidunt neque rem quae architecto pariatur libero at.,743.6,87,6541,523,Britânia,11.04,2023-01-28T00:00:00
115,Multilaser Max Atque 6804,Provident quas asperiores impedit sed eius.,230.4,248,5630,8418,Multilaser,24.35,2024-05-16T00:00:00
116,Dell Max Numquam 6153,Provident molestias accusantium autem doloremque corrupti mollitia voluptate.,1631.42,424,6212,2489,Dell,22.48,2024-02-25T00:00:00
117,Positivo Lite Minima 2352,Fuga porro corrupti fugit debitis recusandae neque veniam fuga doloribus asperiores.,752.61,154,6324,10006,Positivo,15.56,2023-08-24T00:00:00
118,Braun Smart Voluptatum 7172,Doloribus labore modi inventore voluptate saepe.,2298.39,44,8601,2838,Braun,9.68,2024-11-01T00:00:00
119,Localfrio Plus Aperiam 3168,Mollitia rem veniam ea impedit consequuntur porro et doloremque accusantium.,531.46,194,4732,2855,Localfrio,24.4,2025-06-21T00:00:00
120,Multilaser Ultra Eius 9622,Voluptas fugiat alias repudiandae quae voluptatem vitae sit recusandae qui iste minus.,185.11,295,8821,3702,Multilaser,26.36,2023-06-18T00:00:00
121,Xiaomi Ultra Ipsa 4506,Provident doloremque natus magnam expedita repellat sint.,2278.74,305,1638,14499,Xiaomi,19.61,2025-10-01T00:00:00
122,Sony Turbo Sequi 5347,Praesentium officiis praesentium repudiandae facere velit voluptatum ex accusamus quos.,1080.52,278,9387,14474,Sony,5.81,2026-05-29T00:00:00
123,Multilaser Super Maxime 3149,Nobis sint cumque doloremque ut reiciendis atque harum quae.,1970.68,367,3933,546,Multilaser,4.82,2026-04-25T00:00:00
124,Nike Ultra Natus 7318,Maiores ad nisi distinctio sapiente eius eum ipsam.,429.94,323,2435,1529,Nike,29.83,2026-01-14T00:00:00
125,LG Pro Veritatis 9928,Similique rerum sit commodi quibusdam repellendus aperiam blanditiis aut consectetur non.,932.27,438,14020,7405,LG,25.53,2026-06-03T00:00:00
126,Panasonic Plus Id 2663,Molestias praesentium consequuntur nemo dolor reprehenderit.,533.9,52,5181,9487,Panasonic,15.85,2025-03-04T00:00:00
127,Panasonic Ultra Dolorum 7052,Possimus dignissimos quod tempore similique quaerat placeat recusandae asperiores nisi amet deserunt quo.,2903.42,90,4645,14548,Panasonic,19.64,2025-05-21T00:00:00
128,LG Super Tempore 5857,Ipsam vero vitae ad harum iste rem officia nostrum laudantium nulla.,4528.13,369,3295,1338,LG,6.22,2024-06-07T00:00:00
129,LG Premium Enim 6460,Assumenda tenetur ipsam quas a tempore.,1148.4,496,10976,410,LG,1.42,2024-08-09T00:00:00
130,Britânia Max Recusandae 6526,Commodi asperiores quibusdam accusantium maiores qui doloremque facilis esse libero assumenda.,1027.91,217,4273,3937,Britânia,29.87,2026-01-03T00:00:00
131,Xiaomi Slim Repudiandae 7237,Quibusdam at est earum consectetur ducimus numquam veritatis.,4154.63,11,5032,9640,Xiaomi,24.49,2025-11-09T00:00:00
132,Braun Max Architecto 124,Mollitia voluptatibus vitae animi ab debitis in ipsam ex temporibus deserunt aspernatur.,1094.45,320,14543,14490,Braun,0.52,2023-11-28T00:00:00
133,Lenovo Smart Veritatis 7852,Sit neque atque id neque provident debitis harum doloribus.,3034.09,83,5731,4895,Lenovo,27.36,2026-01-09T00:00:00
134,Lenovo Slim Possimus 701,Repellat molestiae laboriosam iure similique minus odio mollitia.,4227.43,453,3368,2346,Lenovo,24.27,2025-10-08T00:00:00
135,Arno Super Fuga 7417,Impedit ea in eos deserunt aliquam quidem reprehenderit eum eius corrupti.,1563.44,347,8012,1474,Arno,6.94,2026-06-07T00:00:00
136,LG Max Voluptatibus 3161,Ducimus nisi quas dolorem tempora itaque quia pariatur accusamus.,3235.96,214,4633,11337,LG,19.19,2023-03-21T00:00:00
137,LG Ultra Architecto 6643,Qui fuga magnam cumque fugiat porro eaque corrupti omnis alias officiis.,2235.27,396,6129,12585,LG,7.03,2025-07-21T00:00:00
138,Intelbras Plus Ut 4452,Similique a aliquid illum eius tempora cupiditate quis aliquam maxime aut.,3016.17,294,4983,1428,Intelbras,29.16,2024-06-10T00:00:00
139,Lenovo Smart Dolor 5183,Eos at quidem nulla adipisci laudantium.,214.44,174,12808,14320,Lenovo,22.58,2026-01-13T00:00:00
140,Oster Premium Pariatur 1333,Officia debitis iure illum distinctio quidem nobis sint itaque temporibus.,2642.15,68,4881,10893,Oster,22.04,2024-03-21T00:00:00
141,Adidas Premium Odit 2820,Voluptate ea fugit blanditiis distinctio earum distinctio fuga consequuntur sunt.,3388.4,68,1846,13474,Adidas,27.52,2026-03-06T00:00:00
142,Nike Plus Ullam 4821,Occaecati magnam ea necessitatibus molestiae officiis voluptates quisquam incidunt voluptatum corrupti.,2793.94,467,918,9681,Nike,12.52,2024-01-06T00:00:00
143,Apple Lite Accusamus 6226,Aspernatur minima ipsam cupiditate facere nisi illo.,1434.3,424,1182,883,Apple,24.34,2026-04-02T00:00:00
144,Electrolux Lite Voluptas 8768,Reprehenderit aut repudiandae officia repellat dolore quibusdam.,1864.26,425,9819,5249,Electrolux,4.72,2025-10-02T00:00:00
145,Xiaomi Plus Commodi 4978,Consectetur odio cumque asperiores numquam adipisci.,172.39,307,14895,6392,Xiaomi,4.24,2024-09-29T00:00:00
146,Philips Premium Ut 7388,Aspernatur ex corporis possimus soluta hic cupiditate.,4413.33,323,13259,1073,Philips,19.04,2025-05-21T00:00:00
147,LG Pro Deleniti 5777,Voluptas perferendis quisquam ut modi totam dignissimos.,1397.2,36,9299,9105,LG,23.26,2025-02-24T00:00:00
148,HP Premium Nihil 460,Ab dolores nobis eius cumque quis laudantium iste corrupti ipsam minus qui.,2546.71,405,6781,9247,HP,5.81,2023-12-28T00:00:00
149,Multilaser Plus Dolore 7674,Accusamus inventore illo quam provident dicta dolores tenetur temporibus sunt quia.,2046.73,349,14258,10327,Multilaser,19.53,2024-08-11T00:00:00
150,Dell Pro Corrupti 5017,Non tenetur magni omnis occaecati quia eum maxime assumenda dolore.,3343.55,163,7133,10962,Dell,16.8,2026-01-01T00:00:00
151,Samsung Premium Quas 8550,Unde voluptatum temporibus est corrupti libero fugiat id cumque beatae repellendus velit.,2648.52,262,4803,4423,Samsung,24.53,2023-07-08T00:00:00
152,Multilaser Super Architecto 3241,Iusto earum consectetur delectus eos eius incidunt ipsam sed sed assumenda consectetur.,295.86,18,2132,3799,Multilaser,9.97,2024-05-21T00:00:00
153,Xiaomi Ultra Corporis 799,Error dicta dolore quia nemo earum excepturi voluptatum impedit accusamus aliquam consectetur.,3933.83,445,12815,4799,Xiaomi,2.44,2025-10-29T00:00:00
154,Localfrio Super Praesentium 4557,Animi illum dolorem quia non exercitationem.,3909.74,483,14465,7486,Localfrio,7.78,2023-08-31T00:00:00
155,Havaianas Plus Voluptatibus 1651,Nemo soluta ducimus accusamus at officia.,4403.33,166,10665,13780,Havaianas,25.06,2026-01-04T00:00:00
156,Positivo Premium Corporis 7589,Reprehenderit quam doloremque pariatur soluta explicabo voluptates corporis unde quae odit reiciendis sint accusamus.,4240.71,386,6743,9469,Positivo,25.21,2026-03-19T00:00:00
157,LG Pro Vel 5790,Itaque id totam officia et distinctio incidunt aut dolores eaque dolores aut animi.,4134.15,132,1223,14371,LG,17.02,2024-08-28T00:00:00
158,Adidas Ultra Fuga 9661,Labore repudiandae commodi laboriosam numquam veritatis consequatur rerum eius deserunt eius minima.,3447.21,377,3178,5442,Adidas,26.09,2024-01-27T00:00:00
159,Xiaomi Premium Tenetur 6057,Maxime veritatis provident soluta perferendis blanditiis incidunt suscipit.,46.12,85,11620,2049,Xiaomi,24.75,2025-10-27T00:00:00
160,Arno Slim Vitae 3455,Earum reprehenderit perferendis labore voluptatibus sit cupiditate.,4821.48,112,10182,14791,Arno,22.72,2025-08-17T00:00:00
161,Localfrio Ultra Qui 5905,Ut quis dolores soluta est enim consequuntur.,3555.52,158,4451,6079,Localfrio,23.89,2025-08-30T00:00:00
162,Intelbras Plus Beatae 3580,Laborum veritatis possimus commodi facilis delectus reprehenderit.,2868.85,431,11745,296,Intelbras,7.58,2023-06-24T00:00:00
163,Philips Super Inventore 9875,Tenetur pariatur mollitia dolor laboriosam aliquam adipisci impedit.,1289.59,168,4867,10230,Philips,19.35,2025-02-06T00:00:00
164,Oster Premium Enim 4338,Eveniet fugiat placeat nostrum explicabo repellendus cumque odit aliquam facilis similique animi.,1550.28,249,11879,10720,Oster,3.86,2025-03-09T00:00:00
165,Localfrio Turbo Quaerat 6314,Architecto non assumenda voluptatem iste totam iusto aliquid.,87.31,312,5717,9729,Localfrio,23.89,2023-04-12T00:00:00
166,Oster Ultra Occaecati 9639,Cum laudantium eveniet nostrum iure sed voluptas dolore sunt quibusdam eius labore iusto.,3347.21,167,8823,5562,Oster,9.5,2025-06-03T00:00:00
