id_item,id_pedido,id_produto,quantidade,valor_unitario,desconto_percentual,subtotal,updated_at
143,654,228,8,347.29,14.0,2389.36,2025-01-07T00:00:00
144,7332,8920,9,784.47,15.0,6001.2,2024-02-10T00:00:00
145,13687,4101,4,2775.92,0.0,11103.68,2026-01-13T00:00:00
146,13204,12621,3,482.05,20.0,1156.92,2025-03-18T00:00:00
147,3434,5204,2,2851.96,13.0,4962.41,2025-06-20T00:00:00
148,5166,6783,3,624.88,14.0,1612.19,2024-09-27T00:00:00
149,4105,11110,10,2909.04,7.0,27054.07,2026-03-20T00:00:00
150,8656,10279,4,566.56,28.0,1631.69,2026-04-25T00:00:00
151,616,14269,2,2078.67,20.0,3325.87,2023-11-24T00:00:00
152,4486,1307,9,1498.89,14.0,11601.41,2024-01-29T00:00:00
153,2104,12698,9,1884.96,7.0,15777.12,2023-06-12T00:00:00
154,10263,10256,6,1829.33,27.0,8012.47,2023-07-16T00:00:00
155,14772,12081,10,1544.46,19.0,12510.13,2025-09-03T00:00:00
156,8446,9025,9,1613.28,24.0,11034.84,2023-08-15T00:00:00
157,12383,6341,9,1651.94,23.0,11447.94,2024-03-04T00:00:00
158,481,2129,10,1195.77,7.0,11120.66,2024-08-18T00:00:00
159,3427,12841,6,2098.44,16.0,10576.14,2023-07-10T00:00:00
160,1105,12016,9,2447.56,28.0,15860.19,2025-04-17T00:00:00
161,14675,12757,4,1070.28,18.0,3510.52,2023-06-08T00:00:00
162,11101,597,5,416.37,24.0,1582.21,2024-11-07T00:00:00
163,5324,4088,10,646.1,2.0,6331.78,2025-10-30T00:00:00
164,7853,14363,1,1962.11,9.0,1785.52,2025-06-03T00:00:00
165,5254,669,3,419.43,9.0,1145.04,2024-11-17T00:00:00
166,2473,2283,8,1246.98,26.0,7382.12,2024-01-09T00:00:00
167,8508,9552,5,2807.98,9.0,12776.31,2025-01-03T00:00:00
168,2300,4757,4,357.61,30.0,1001.31,2024-07-05T00:00:00
169,5507,12501,7,1179.71,21.0,6523.8,2025-09-07T00:00:00
170,11106,6703,6,2030.46,19.0,9868.04,2023-11-24T00:00:00
171,11132,13176,9,1642.23,21.0,11676.26,2025-03-18T00:00:00
172,5978,14534,2,914.72,18.0,1500.14,2026-02-09T00:00:00
173,10817,800,3,1826.67,26.0,4055.21,2024-09-26T00:00:00
174,6110,2449,8,672.51,21.0,4250.26,2025-04-20T00:00:00
175,7336,12638,7,2043.06,28.0,10297.02,2026-06-08T00:00:00
176,14017,13398,1,989.68,20.0,791.74,2023-05-13T00:00:00
177,2227,8778,7,2526.58,19.0,14325.71,2025-11-19T00:00:00
178,11007,6615,4,2051.66,16.0,6893.58,2025-10-09T00:00:00
179,8143,2947,4,2946.51,5.0,11196.74,2025-06-24T00:00:00
180,4615,14123,9,254.98,6.0,2157.13,2026-03-11T00:00:00
181,9684,10924,9,2460.37,8.0,20371.86,2024-04-17T00:00:00
182,6009,13850,10,182.12,30.0,1274.84,2025-02-07T00:00:00
183,11297,5177,4,416.92,25.0,1250.76,2025-07-02T00:00:00
184,3135,6691,7,65.25,1.0,452.18,2024-07-20T00:00:00
185,4737,13968,10,145.09,24.0,1102.68,2026-03-21T00:00:00
186,12560,11067,5,561.84,15.0,2387.82,2023-09-03T00:00:00
187,1280,13887,10,1841.83,26.0,13629.54,2025-05-10T00:00:00
188,2889,8473,4,613.87,30.0,1718.84,2023-12-29T00:00:00
189,6976,11472,10,2122.58,20.0,16980.64,2025-10-19T00:00:00
190,3085,9527,5,1985.14,29.0,7047.25,2024-03-28T00:00:00
191,2110,4083,7,696.34,2.0,4776.89,2023-07-02T00:00:00
192,5991,5777,1,818.1,11.0,728.11,2023-05-14T00:00:00
193,3519,1653,1,1828.67,17.0,1517.8,2023-06-13T00:00:00
194,3936,3785,2,1986.73,19.0,3218.5,2025-08-29T00:00:00
195,13430,2029,4,1131.46,15.0,3846.96,2023-11-20T00:00:00
196,8591,2217,9,1521.49,21.0,10817.79,2026-02-19T00:00:00
197,14880,7910,8,2859.18,20.0,18298.75,2026-03-26T00:00:00
198,12573,4121,3,267.73,28.0,578.3,2025-08-05T00:00:00
199,1175,12389,9,1958.11,18.0,14450.85,2025-04-17T00:00:00
200,3234,4377,9,728.76,19.0,5312.66,2023-10-02T00:00:00
201,10352,4459,7,291.22,9.0,1855.07,2024-03-09T00:00:00
202,11417,1318,4,2053.28,1.0,8130.99,2023-05-09T00:00:00
203,4566,12040,7,502.17,13.0,3058.22,2026-01-14T00:00:00
204,8003,6839,2,1714.75,5.0,3258.02,2026-03-12T00:00:00
205,1829,2273,3,2961.81,23.0,6841.78,2024-11-11T00:00:00
206,7703,974,5,592.18,4.0,2842.46,2025-10-05T00:00:00
207,2968,3014,2,323.69,20.0,517.9,2023-02-18T00:00:00
208,6724,5614,10,2724.08,15.0,23154.68,2025-10-12T00:00:00
209,667,8,9,1977.13,22.0,13879.45,2025-11-02T00:00:00
210,1304,11892,1,1386.22,15.0,1178.29,2026-02-23T00:00:00
211,11529,9614,10,2765.54,13.0,24060.2,2023-01-26T00:00:00
212,13843,10093,1,1458.45,25.0,1093.84,2025-07-16T00:00:00
213,2613,2012,4,223.13,16.0,749.72,2023-01-18T00:00:00
214,8980,8465,1,479.28,10.0,431.35,2024-01-14T00:00:00
215,12539,12796,1,2612.31,26.0,1933.11,2026-01-23T00:00:00
216,2688,10643,3,2695.53,14.0,6954.47,2024-01-01T00:00:00
217,9266,1583,5,1386.25,19.0,5614.31,2025-11-18T00:00:00
218,10811,11185,5,1669.46,4.0,8013.41,2025-10-23T00:00:00
219,9437,9778,7,947.31,24.0,5039.69,2023-05-15T00:00:00
220,14252,6720,6,2352.87,21.0,11152.6,2024-11-28T00:00:00
221,1627,5717,2,2467.86,18.0,4047.29,2023-06-30T00:00:00
222,13950,1733,8,1309.58,16.0,8800.38,2023-06-27T00:00:00
223,9967,880,10,1373.07,11.0,12220.32,2024-11-24T00:00:00
224,14498,4547,2,2083.93,7.0,3876.11,2024-02-28T00:00:00
225,3049,9070,5,2063.07,6.0,9696.43,2023-05-12T00:00:00
226,500,1729,8,1575.44,17.0,10460.92,2024-01-27T00:00:00
227,3877,1837,9,902.36,26.0,6009.72,2023-02-07T00:00:00
228,4609,7790,9,945.97,24.0,6470.43,2024-05-13T00:00:00
229,8353,11557,2,2610.82,20.0,4177.31,2024-06-05T00:00:00
230,6139,14458,3,2505.6,4.0,7216.13,2024-05-31T00:00:00
231,3939,14617,4,2253.02,22.0,7029.42,2023-08-31T00:00:00
232,9922,11802,3,687.39,14.0,1773.47,2026-01-07T00:00:00
233,5989,11070,2,133.54,20.0,213.66,2025-11-29T00:00:00
234,11894,2735,6,2189.73,17.0,10904.86,2026-04-15T00:00:00
235,6318,243,2,1560.8,25.0,2341.2,2023-07-13T00:00:00
236,14402,3110,9,234.45,10.0,1899.04,2024-03-11T00:00:00
237,6680,12190,8,1540.6,12.0,10845.82,2025-08-24T00:00:00
238,11589,8142,9,161.87,3.0,1413.13,2024-06-09T00:00:00
239,817,3667,2,1187.78,26.0,1757.91,2025-08-17T00:00:00
240,10411,12130,5,2370.54,12.0,10430.38,2026-01-11T00:00:00
241,10150,10932,6,2424.85,5.0,13821.64,2023-09-23T00:00:00
242,11717,5869,8,2099.28,10.0,15114.82,2026-03-14T00:00:00
243,13410,9768,9,581.7,0.0,5235.3,2023-07-29T00:00:00
244,5632,2849,1,2721.12,6.0,2557.85,2023-05-02T00:00:00
245,5743,6608,3,1508.37,30.0,3167.58,2025-06-28T00:00:00
246,7755,14317,1,1762.8,26.0,1304.47,2024-04-09T00:00:00
247,2203,2172,8,1807.51,16.0,12146.47,2025-04-14T00:00:00
248,6290,11010,9,1491.0,11.0,11942.91,2023-10-09T00:00:00
249,3751,5693,8,739.43,19.0,4791.51,2024-09-09T00:00:00
250,5674,12412,4,882.07,20.0,2822.62,2026-05-20T00:00:00
251,2456,14712,10,2247.77,3.0,21803.37,2025-08-26T00:00:00
252,8128,12243,4,2219.6,22.0,6925.15,2023-09-13T00:00:00
253,11069,1154,2,2464.27,8.0,4534.26,2024-04-12T00:00:00
254,4933,1323,2,2420.3,5.0,4598.57,2023-02-13T00:00:00
255,6427,8707,2,1164.0,11.0,2071.92,2023-12-05T00:00:00
256,6000,7591,1,1791.66,13.0,1558.74,2023-01-09T00:00:00
257,3148,14365,4,365.94,17.0,1214.92,2023-07-07T00:00:00
258,2347,9436,3,2309.8,11.0,6167.17,2023-03-02T00:00:00
259,1260,12618,8,1360.01,8.0,10009.67,2025-08-13T00:00:00
260,5124,4667,3,1204.79,6.0,3397.51,2025-07-10T00:00:00
261,12685,13604,7,1277.61,25.0,6707.45,2024-09-22T00:00:00
262,9143,2744,8,2896.06,14.0,19924.89,2025-12-27T00:00:00
263,9305,387,9,2016.98,28.0,13070.03,2026-03-08T00:00:00
264,9035,9004,3,2340.11,2.0,6879.92,2023-12-31T00:00:00
265,4196,14474,2,1613.18,8.0,2968.25,2025-12-09T00:00:00
266,919,6794,3,2795.66,21.0,6625.71,2024-03-17T00:00:00
267,7865,10433,9,2243.96,13.0,17570.21,2023-04-06T00:00:00
268,3301,5285,3,2896.0,17.0,7211.04,2023-04-02T00:00:00
269,4514,12255,2,184.29,15.0,313.29,2024-04-16T00:00:00
270,8142,11181,6,133.77,14.0,690.25,2023-07-21T00:00:00
271,10886,12133,7,830.21,1.0,5753.36,2024-05-25T00:00:00
272,8276,8800,4,1284.62,3.0,4984.33,2024-10-29T00:00:00
273,7490,6641,5,2133.45,5.0,10133.89,2025-12-13T00:00:00
274,3742,8625,3,292.93,24.0,667.88,2023-09-25T00:00:00
275,13886,8150,7,1157.97,16.0,6808.86,2023-12-26T00:00:00
276,7205,11764,6,2548.06,24.0,11619.15,2023-05-06T00:00:00
277,12563,11212,5,2936.21,12.0,12919.32,2026-05-23T00:00:00
278,9083,8805,9,2669.57,7.0,22344.3,2025-11-19T00:00:00
279,6541,6569,8,760.68,23.0,4685.79,2024-09-13T00:00:00
280,12189,11635,10,520.97,13.0,4532.44,2024-07-27T00:00:00
281,6983,2608,8,1009.8,27.0,5897.23,2023-06-29T00:00:00
282,7023,7129,9,1255.77,2.0,11075.89,2025-08-01T00:00:00
283,4653,2367,4,1718.8,7.0,6393.94,2023-11-14T00:00:00
284,3486,4055,9,2611.34,15.0,19976.75,2023-04-27T00:00:00
285,5939,6163,4,791.87,14.0,2724.03,2025-07-27T00:00:00
286,9022,13543,6,1985.77,10.0,10723.16,2025-03-20T00:00:00
287,7647,2330,6,82.63,12.0,436.29,2025-07-13T00:00:00
288,7785,11702,10,699.26,17.0,5803.86,2024-09-09T00:00:00
289,4750,13189,8,2266.18,10.0,16316.5,2026-03-11T00:00:00
290,7963,2462,8,1167.29,12.0,8217.72,2025-09-29T00:00:00
291,6390,2605,7,1368.37,23.0,7375.51,2025-03-06T00:00:00
292,3237,1214,7,2332.53,27.0,11919.23,2025-03-04T00:00:00
293,6209,11700,1,2662.09,27.0,1943.33,2024-06-05T00:00:00
294,7349,4635,9,1290.03,17.0,9636.52,2023-03-03T00:00:00
295,3175,14699,9,866.86,18.0,6397.43,2023-09-23T00:00:00
296,5666,3047,2,2634.45,26.0,3898.99,2024-01-13T00:00:00
297,7067,3200,5,662.81,3.0,3214.63,2024-07-13T00:00:00
298,13509,4690,1,852.77,20.0,682.22,2026-04-17T00:00:00
299,702,14290,1,2490.91,0.0,2490.91,2023-05-25T00:00:00
300,5888,1440,10,2416.77,0.0,24167.7,2024-03-07T00:00:00
301,726,14221,6,1027.35,6.0,5794.25,2024-07-31T00:00:00
302,11674,12742,9,2098.46,20.0,15108.91,2025-12-01T00:00:00
303,2371,8619,9,2835.51,16.0,21436.46,2025-06-25T00:00:00
304,6887,2667,10,1254.82,12.0,11042.42,2024-02-19T00:00:00
305,9473,8040,1,746.99,1.0,739.52,2024-10-04T00:00:00
306,1431,3192,7,1664.06,27.0,8503.35,2024-11-30T00:00:00
307,11881,14294,1,858.76,7.0,798.65,2025-06-22T00:00:00
308,14312,10873,2,2984.8,10.0,5372.64,2024-06-09T00:00:00
309,6771,1766,6,2113.01,17.0,10522.79,2024-06-15T00:00:00
310,10122,8734,5,618.51,19.0,2504.97,2026-03-04T00:00:00
311,5783,12198,3,1285.86,22.0,3008.91,2023-08-02T00:00:00
312,3933,14833,7,1690.81,11.0,10533.75,2026-05-22T00:00:00
313,12002,12867,8,1427.0,19.0,9246.96,2024-02-07T00:00:00
314,2736,367,7,1507.61,0.0,10553.27,2024-03-23T00:00:00
315,11077,12915,4,2660.59,0.0,10642.36,2025-01-20T00:00:00
316,9241,8564,9,435.61,13.0,3410.83,2025-12-15T00:00:00
317,757,757,10,2648.66,11.0,23573.07,2023-04-19T00:00:00
318,6959,9643,1,1983.71,10.0,1785.34,2025-01-26T00:00:00
319,6287,8159,6,1251.45,21.0,5931.87,2023-11-24T00:00:00
320,1844,12608,1,2815.23,1.0,2787.08,2025-08-10T00:00:00
321,4942,222,3,1974.58,20.0,4738.99,2023-12-20T00:00:00
322,11161,3850,8,44.48,21.0,281.11,2026-02-13T00:00:00
323,1974,5574,4,1886.59,12.0,6640.8,2026-02-18T00:00:00
324,8755,4281,2,2950.62,21.0,4661.98,2024-04-20T00:00:00
325,9127,2036,9,541.57,11.0,4337.98,2025-03-20T00:00:00
326,4814,11312,5,910.38,25.0,3413.92,2025-11-30T00:00:00
327,10143,1114,10,41.61,1.0,411.94,2023-08-10T00:00:00
328,13557,2591,9,42.16,9.0,345.29,2025-09-24T00:00:00
329,1114,2550,8,1918.65,28.0,11051.42,2024-02-03T00:00:00
330,9823,9459,7,1388.34,27.0,7094.42,2023-01-05T00:00:00
331,1394,3013,7,862.67,15.0,5132.89,2026-04-18T00:00:00
332,12214,4865,7,1581.81,25.0,8304.5,2025-09-11T00:00:00
333,12124,14139,7,1296.34,0.0,9074.38,2023-12-03T00:00:00
334,7680,967,10,376.75,4.0,3616.8,2023-04-08T00:00:00
335,5073,10999,2,1178.86,5.0,2239.83,2025-06-14T00:00:00
336,2442,5209,5,2032.76,12.0,8944.14,2023-07-06T00:00:00
337,8019,7438,9,2366.11,30.0,14906.49,2024-09-29T00:00:00
338,11919,2885,10,870.26,6.0,8180.44,2024-11-08T00:00:00
339,10929,2687,5,939.73,17.0,3899.88,2025-04-27T00:00:00
340,10287,14064,7,395.42,14.0,2380.43,2025-11-23T00:00:00
341,1822,8446,7,2748.46,14.0,16545.73,2025-01-09T00:00:00
342,13939,2623,6,1466.84,26.0,6512.77,2025-04-28T00:00:00
343,3422,947,9,879.22,12.0,6963.42,2024-10-22T00:00:00
344,14933,11844,10,2849.84,14.0,24508.62,2025-01-20T00:00:00
345,6621,3819,7,1603.63,25.0,8419.06,2025-05-08T00:00:00
346,7429,6200,2,765.15,2.0,1499.69,2025-02-04T00:00:00
347,7570,4179,7,2717.0,9.0,17307.29,2024-09-25T00:00:00
348,6804,37,9,1457.41,27.0,9575.18,2023-10-02T00:00:00
349,5214,7499,3,2794.4,11.0,7461.05,2025-11-19T00:00:00
350,6293,8398,10,2389.1,15.0,20307.35,2025-02-16T00:00:00
351,2518,2004,7,1370.91,30.0,6717.46,2024-07-01T00:00:00
352,831,3778,4,2027.91,13.0,7057.13,2024-04-21T00:00:00
353,5871,11022,10,1187.45,7.0,11043.28,2023-03-23T00:00:00
354,9401,10575,4,414.92,2.0,1626.49,2025-11-27T00:00:00
355,13818,14724,5,2191.26,11.0,9751.11,2024-06-08T00:00:00
356,7545,7255,2,2016.68,11.0,3589.69,2024-02-24T00:00:00
357,3504,7826,8,1118.74,22.0,6980.94,2023-10-21T00:00:00
358,2658,711,7,207.32,10.0,1306.12,2024-09-17T00:00:00
359,7677,13451,1,1604.09,29.0,1138.9,2024-09-29T00:00:00
360,7318,13897,7,662.0,17.0,3846.22,2023-09-14T00:00:00
361,2843,6110,8,176.64,21.0,1116.36,2025-06-07T00:00:00
362,3446,14977,2,1722.4,9.0,3134.77,2025-03-21T00:00:00
363,8304,10219,10,1670.05,14.0,14362.43,2024-10-11T00:00:00
364,10816,1858,9,2563.7,22.0,17997.17,2024-09-30T00:00:00
365,9291,2783,5,2977.17,19.0,12057.54,2026-02-15T00:00:00
366,12456,1481,7,363.15,5.0,2414.95,2025-05-02T00:00:00
367,5284,13933,5,2391.88,22.0,9328.33,2026-04-18T00:00:00
368,621,3769,7,2560.43,2.0,17564.55,2025-11-18T00:00:00
369,2081,10592,8,2481.37,0.0,19850.96,2025-03-15T00:00:00
370,8146,5554,9,2039.91,1.0,18175.6,2025-08-19T00:00:00
371,5645,8099,9,319.58,16.0,2416.02,2024-10-26T00:00:00
372,11123,12799,7,796.7,20.0,4461.52,2025-12-12T00:00:00
373,12730,4277,6,2082.57,8.0,11495.79,2025-02-02T00:00:00
374,11343,10062,9,1473.31,20.0,10607.83,2023-11-19T00:00:00
375,12120,3674,8,965.97,19.0,6259.49,2024-08-15T00:00:00
376,491,7546,5,1306.6,29.0,4638.43,2023-09-05T00:00:00
377,6770,1965,2,1255.96,9.0,2285.85,2026-05-30T00:00:00
378,3209,6128,4,1059.05,10.0,3812.58,2024-06-09T00:00:00
379,8858,6304,6,1929.67,25.0,8683.51,2025-11-13T00:00:00
380,10614,13404,7,1392.52,11.0,8675.4,2023-04-29T00:00:00
381,13650,132,6,2570.63,17.0,12801.74,2024-05-25T00:00:00
