id_avaliacao,id_pedido,id_cliente,id_produto,nota,comentario,data_avaliacao,updated_at
51,4319,4194,14201,5,"Produto conforme descrito, embalagem perfeita.",2025-09-05T00:00:00,2025-11-30T00:00:00
52,5466,12478,4906,4,"Muito satisfeito com a compra, recomendo!",2024-05-17T00:00:00,2026-03-29T00:00:00
53,8805,9257,635,4,"Produto conforme descrito, embalagem perfeita.",2024-11-03T00:00:00,2025-09-03T00:00:00
54,14229,14777,12202,4,"Ótimo custo-benefício, chegou antes do prazo.",2023-09-15T00:00:00,2025-03-28T00:00:00
55,14360,9313,9138,3,"Poderia ter mais opções, mas está bom.",2023-04-27T00:00:00,2025-03-10T00:00:00
56,2850,10842,10155,5,"Muito satisfeito com a compra, recomendo!",2023-03-07T00:00:00,2024-05-30T00:00:00
57,5158,12959,7364,5,"Produto excelente, superou minhas expectativas!",2023-03-10T00:00:00,2024-02-02T00:00:00
58,6324,4209,1762,4,"Produto excelente, superou minhas expectativas!",2025-12-09T00:00:00,2025-12-21T00:00:00
59,11269,742,12359,5,"Ótimo custo-benefício, chegou antes do prazo.",2026-01-19T00:00:00,2026-05-15T00:00:00
60,13847,11225,12547,1,Demorou muito para chegar e veio errado.,2024-02-04T00:00:00,2024-03-02T00:00:00
61,6215,14462,3742,5,"Ótimo custo-benefício, chegou antes do prazo.",2024-09-08T00:00:00,2024-12-12T00:00:00
62,13409,10220,7843,3,Qualidade mediana pelo preço cobrado.,2023-10-01T00:00:00,2024-07-10T00:00:00
63,4308,5609,8566,5,Entrega rápida e produto de ótima qualidade.,2024-10-10T00:00:00,2025-09-27T00:00:00
64,13427,14109,3074,4,"Produto excelente, superou minhas expectativas!",2023-11-14T00:00:00,2025-12-03T00:00:00
65,14597,7218,10148,5,Atendimento incrível e produto top!,2024-03-05T00:00:00,2025-05-01T00:00:00
66,4491,1021,14382,3,Qualidade mediana pelo preço cobrado.,2024-03-29T00:00:00,2025-03-14T00:00:00
67,14279,8938,10862,4,"Muito satisfeito com a compra, recomendo!",2024-02-07T00:00:00,2026-05-04T00:00:00
68,1754,8933,10739,1,"Produto com defeito, decepcionante.",2025-01-13T00:00:00,2025-10-10T00:00:00
69,2008,5475,4047,1,"Produto com defeito, decepcionante.",2025-09-04T00:00:00,2025-12-25T00:00:00
70,6454,787,12112,4,Atendimento incrível e produto top!,2024-02-05T00:00:00,2026-05-16T00:00:00
71,7589,4775,2057,4,"Ótimo custo-benefício, chegou antes do prazo.",2023-07-01T00:00:00,2023-07-13T00:00:00
72,4593,6641,13731,5,"Muito satisfeito com a compra, recomendo!",2023-07-17T00:00:00,2024-05-25T00:00:00
73,10159,4965,10086,4,"Ótimo custo-benefício, chegou antes do prazo.",2025-11-19T00:00:00,2026-04-04T00:00:00
74,2874,14012,14830,4,"Produto excelente, superou minhas expectativas!",2025-11-02T00:00:00,2026-01-17T00:00:00
75,1399,10812,13846,3,"Produto ok, dentro do esperado.",2023-02-24T00:00:00,2023-08-03T00:00:00
76,2183,1095,4672,2,"Produto com defeito, decepcionante.",2025-02-28T00:00:00,2026-03-06T00:00:00
77,10346,5929,2825,4,"Ótimo custo-benefício, chegou antes do prazo.",2025-06-04T00:00:00,2026-03-11T00:00:00
78,5586,4939,1632,5,"Muito satisfeito com a compra, recomendo!",2026-05-03T00:00:00,2026-05-29T00:00:00
79,5235,5362,9692,5,Comprei e já quero comprar de novo. Perfeito!,2023-03-13T00:00:00,2025-09-27T00:00:00
80,1537,2983,7854,5,Entrega rápida e produto de ótima qualidade.,2023-08-21T00:00:00,2025-05-20T00:00:00
81,8935,8276,2883,5,Entrega rápida e produto de ótima qualidade.,2025-06-04T00:00:00,2025-10-21T00:00:00
82,11606,2110,6004,5,"Muito satisfeito com a compra, recomendo!",2024-09-06T00:00:00,2025-09-03T00:00:00
83,5831,8506,628,5,Comprei e já quero comprar de novo. Perfeito!,2023-04-28T00:00:00,2025-04-16T00:00:00
84,12526,3266,11645,5,"Produto conforme descrito, embalagem perfeita.",2023-02-12T00:00:00,2026-02-02T00:00:00
85,12137,6533,14227,3,"Chegou no prazo, produto razoável.",2023-05-13T00:00:00,2023-11-17T00:00:00
86,7811,4598,6081,4,"Produto excelente, superou minhas expectativas!",2023-06-09T00:00:00,2024-04-12T00:00:00
87,14072,9837,7764,5,Entrega rápida e produto de ótima qualidade.,2025-07-20T00:00:00,2026-01-03T00:00:00
88,13234,9735,14396,5,"Produto excelente, superou minhas expectativas!",2023-12-21T00:00:00,2025-09-14T00:00:00
89,13663,13771,6819,5,"Ótimo custo-benefício, chegou antes do prazo.",2024-03-23T00:00:00,2024-12-11T00:00:00
90,9218,3079,8019,4,Entrega rápida e produto de ótima qualidade.,2025-07-04T00:00:00,2025-12-20T00:00:00
91,5175,8566,7414,4,"Produto excelente, superou minhas expectativas!",2024-10-26T00:00:00,2025-12-03T00:00:00
92,3529,9811,13717,5,Entrega rápida e produto de ótima qualidade.,2024-05-22T00:00:00,2025-07-11T00:00:00
93,10964,6193,1852,1,Qualidade muito abaixo do esperado.,2023-01-04T00:00:00,2025-01-25T00:00:00
94,11893,4746,14591,3,"Nada de mais, mas cumpre o que promete.",2023-09-11T00:00:00,2024-08-01T00:00:00
95,3646,12090,12951,2,Demorou muito para chegar e veio errado.,2024-06-17T00:00:00,2025-01-26T00:00:00
96,1046,6281,10362,5,Entrega rápida e produto de ótima qualidade.,2025-05-03T00:00:00,2025-08-03T00:00:00
97,8386,3959,5931,5,Atendimento incrível e produto top!,2023-10-02T00:00:00,2025-04-05T00:00:00
98,14615,4574,3911,3,"Chegou no prazo, produto razoável.",2026-04-22T00:00:00,2026-05-12T00:00:00
99,6575,8068,4138,3,"Poderia ter mais opções, mas está bom.",2023-12-01T00:00:00,2024-05-18T00:00:00
100,6145,5633,5961,4,"Produto excelente, superou minhas expectativas!",2026-02-21T00:00:00,2026-04-30T00:00:00
101,8729,597,10992,5,Comprei e já quero comprar de novo. Perfeito!,2025-01-22T00:00:00,2026-04-16T00:00:00
102,10609,11783,13998,5,Atendimento incrível e produto top!,2024-06-11T00:00:00,2025-09-29T00:00:00
103,794,14722,10747,4,"Produto conforme descrito, embalagem perfeita.",2024-05-14T00:00:00,2025-06-16T00:00:00
104,6534,1684,11162,5,Atendimento incrível e produto top!,2025-01-25T00:00:00,2025-08-23T00:00:00
105,11671,3861,3125,3,"Poderia ter mais opções, mas está bom.",2025-04-01T00:00:00,2025-11-14T00:00:00
106,156,886,8089,5,Entrega rápida e produto de ótima qualidade.,2023-11-07T00:00:00,2025-05-25T00:00:00
107,13427,1591,972,3,"Nada de mais, mas cumpre o que promete.",2024-07-24T00:00:00,2026-01-24T00:00:00
108,9533,6892,37,2,Qualidade muito abaixo do esperado.,2025-03-27T00:00:00,2025-05-17T00:00:00
109,2401,2621,9045,4,"Muito satisfeito com a compra, recomendo!",2024-07-15T00:00:00,2026-02-03T00:00:00
110,7139,497,14925,5,Atendimento incrível e produto top!,2026-02-15T00:00:00,2026-04-08T00:00:00
111,2396,6456,1420,5,"Produto conforme descrito, embalagem perfeita.",2026-06-06T00:00:00,2026-06-06T00:00:00
112,14312,6819,896,5,Comprei e já quero comprar de novo. Perfeito!,2024-04-15T00:00:00,2024-12-19T00:00:00
113,9874,3222,10289,5,"Ótimo custo-benefício, chegou antes do prazo.",2026-05-21T00:00:00,2026-06-03T00:00:00
114,3445,13527,7504,5,"Produto conforme descrito, embalagem perfeita.",2024-01-26T00:00:00,2024-02-07T00:00:00
115,12757,1418,8360,4,"Ótimo custo-benefício, chegou antes do prazo.",2024-10-20T00:00:00,2025-07-18T00:00:00
116,10382,7587,7878,4,"Produto conforme descrito, embalagem perfeita.",2023-05-16T00:00:00,2025-01-09T00:00:00
117,8463,874,1834,1,"Não recomendo, produto diferente do anunciado.",2024-10-08T00:00:00,2025-04-19T00:00:00
118,6286,13076,3632,2,"Não recomendo, produto diferente do anunciado.",2024-05-27T00:00:00,2025-08-16T00:00:00
119,11995,9929,7397,5,"Produto excelente, superou minhas expectativas!",2024-11-17T00:00:00,2025-09-11T00:00:00
120,9385,9212,9614,4,"Produto conforme descrito, embalagem perfeita.",2023-08-09T00:00:00,2023-11-29T00:00:00
121,7060,6435,677,5,Comprei e já quero comprar de novo. Perfeito!,2025-12-27T00:00:00,2026-02-07T00:00:00
122,13249,8311,1329,4,"Ótimo custo-benefício, chegou antes do prazo.",2023-12-11T00:00:00,2026-01-10T00:00:00
123,13645,1859,2567,5,Comprei e já quero comprar de novo. Perfeito!,2023-05-21T00:00:00,2025-02-24T00:00:00
124,4399,3356,7522,5,"Ótimo custo-benefício, chegou antes do prazo.",2024-06-14T00:00:00,2025-01-25T00:00:00
125,7385,6053,10579,5,"Ótimo custo-benefício, chegou antes do prazo.",2024-05-01T00:00:00,2026-03-28T00:00:00
126,9919,10476,13751,2,Qualidade muito abaixo do esperado.,2024-03-14T00:00:00,2026-01-26T00:00:00
127,7922,4868,7624,2,"Péssima experiência, não voltarei a comprar.",2025-03-15T00:00:00,2025-12-23T00:00:00
128,13940,4747,7022,2,"Produto com defeito, decepcionante.",2024-10-10T00:00:00,2025-08-03T00:00:00
129,11663,11617,12628,5,"Produto conforme descrito, embalagem perfeita.",2023-07-10T00:00:00,2023-11-30T00:00:00
130,14101,11165,3235,5,Comprei e já quero comprar de novo. Perfeito!,2025-02-08T00:00:00,2025-05-17T00:00:00
131,14508,6449,12396,5,"Ótimo custo-benefício, chegou antes do prazo.",2024-05-01T00:00:00,2025-10-18T00:00:00
132,14695,2909,3948,5,Entrega rápida e produto de ótima qualidade.,2023-10-23T00:00:00,2025-08-18T00:00:00
133,5071,2748,12243,2,"Péssima experiência, não voltarei a comprar.",2024-10-03T00:00:00,2025-06-25T00:00:00
134,13904,10697,8582,3,"Produto ok, dentro do esperado.",2025-12-27T00:00:00,2026-03-28T00:00:00
135,14594,5255,1725,5,Atendimento incrível e produto top!,2023-08-01T00:00:00,2025-01-13T00:00:00
136,5817,10804,4652,5,"Muito satisfeito com a compra, recomendo!",2025-11-16T00:00:00,2026-03-02T00:00:00
137,8371,7144,14554,4,"Produto excelente, superou minhas expectativas!",2025-01-18T00:00:00,2025-05-06T00:00:00
138,13041,14255,6381,4,Atendimento incrível e produto top!,2024-11-10T00:00:00,2026-06-03T00:00:00
139,5096,10647,13100,5,Comprei e já quero comprar de novo. Perfeito!,2026-05-30T00:00:00,2026-06-03T00:00:00
140,6490,6648,8944,5,"Produto excelente, superou minhas expectativas!",2023-11-30T00:00:00,2024-01-30T00:00:00
141,11170,7482,9056,3,"Chegou no prazo, produto razoável.",2025-02-03T00:00:00,2025-09-22T00:00:00
142,6162,6830,9792,2,"Não recomendo, produto diferente do anunciado.",2025-07-29T00:00:00,2026-02-21T00:00:00
143,6753,2549,1265,2,Demorou muito para chegar e veio errado.,2024-04-28T00:00:00,2025-02-03T00:00:00
144,4627,5913,14356,5,"Muito satisfeito com a compra, recomendo!",2026-04-23T00:00:00,2026-05-16T00:00:00
145,7136,8931,5778,2,"Não recomendo, produto diferente do anunciado.",2025-04-02T00:00:00,2026-01-10T00:00:00
146,3376,14077,13755,4,"Produto conforme descrito, embalagem perfeita.",2024-06-19T00:00:00,2024-07-07T00:00:00
147,9666,14669,4283,5,"Ótimo custo-benefício, chegou antes do prazo.",2025-06-24T00:00:00,2026-02-26T00:00:00
148,10001,5173,12996,2,"Péssima experiência, não voltarei a comprar.",2023-05-21T00:00:00,2025-08-30T00:00:00
149,5440,7238,11891,5,"Ótimo custo-benefício, chegou antes do prazo.",2023-02-14T00:00:00,2026-03-19T00:00:00
150,4638,10972,12709,5,"Muito satisfeito com a compra, recomendo!",2023-01-07T00:00:00,2023-11-21T00:00:00
151,4086,6196,1427,4,"Produto conforme descrito, embalagem perfeita.",2024-11-13T00:00:00,2025-08-15T00:00:00
152,8836,643,14863,5,"Muito satisfeito com a compra, recomendo!",2026-04-05T00:00:00,2026-06-02T00:00:00
153,11885,10686,3355,5,Atendimento incrível e produto top!,2023-09-11T00:00:00,2025-11-03T00:00:00
154,14376,4857,11114,5,Entrega rápida e produto de ótima qualidade.,2025-01-07T00:00:00,2025-04-07T00:00:00
155,1456,1945,10209,5,Atendimento incrível e produto top!,2023-03-04T00:00:00,2025-03-18T00:00:00
156,3755,10791,9795,5,Entrega rápida e produto de ótima qualidade.,2024-01-27T00:00:00,2025-06-01T00:00:00
157,1905,129,3472,5,"Muito satisfeito com a compra, recomendo!",2024-11-07T00:00:00,2025-12-04T00:00:00
158,8039,10303,1196,5,"Muito satisfeito com a compra, recomendo!",2025-07-26T00:00:00,2025-09-08T00:00:00
159,12138,5956,12254,3,"Chegou no prazo, produto razoável.",2025-10-01T00:00:00,2026-06-09T00:00:00
160,1859,12270,8182,5,Atendimento incrível e produto top!,2023-02-11T00:00:00,2026-04-20T00:00:00
161,2785,9916,13998,4,Atendimento incrível e produto top!,2023-03-25T00:00:00,2024-11-10T00:00:00
162,14792,4350,2178,4,"Produto excelente, superou minhas expectativas!",2025-03-25T00:00:00,2026-03-05T00:00:00
163,6180,560,9478,5,"Produto conforme descrito, embalagem perfeita.",2023-08-25T00:00:00,2025-12-06T00:00:00
164,7372,14093,8203,3,Qualidade mediana pelo preço cobrado.,2023-03-22T00:00:00,2025-07-14T00:00:00
165,3300,9700,11304,3,Qualidade mediana pelo preço cobrado.,2025-11-28T00:00:00,2026-02-19T00:00:00
166,3748,12680,9548,5,"Muito satisfeito com a compra, recomendo!",2024-05-31T00:00:00,2024-08-13T00:00:00
167,8643,10135,10310,4,"Ótimo custo-benefício, chegou antes do prazo.",2025-01-05T00:00:00,2025-06-02T00:00:00
168,12121,13742,5330,5,"Ótimo custo-benefício, chegou antes do prazo.",2023-04-21T00:00:00,2023-07-07T00:00:00
169,12097,13861,13741,3,"Nada de mais, mas cumpre o que promete.",2026-02-13T00:00:00,2026-04-13T00:00:00
170,9137,11938,8223,3,"Poderia ter mais opções, mas está bom.",2024-02-24T00:00:00,2024-11-17T00:00:00
171,5326,8746,10902,4,Entrega rápida e produto de ótima qualidade.,2024-07-17T00:00:00,2026-03-03T00:00:00
172,13021,13251,2107,5,"Muito satisfeito com a compra, recomendo!",2023-09-11T00:00:00,2025-11-13T00:00:00
173,10718,5632,9978,1,"Produto com defeito, decepcionante.",2024-03-11T00:00:00,2024-09-25T00:00:00
174,9189,13100,4321,2,Demorou muito para chegar e veio errado.,2025-10-21T00:00:00,2026-01-09T00:00:00
175,7946,7573,3623,4,"Produto excelente, superou minhas expectativas!",2026-02-21T00:00:00,2026-02-25T00:00:00
176,10852,2462,1619,2,Demorou muito para chegar e veio errado.,2026-03-12T00:00:00,2026-04-20T00:00:00
177,10338,13437,11591,3,Qualidade mediana pelo preço cobrado.,2023-08-03T00:00:00,2026-04-16T00:00:00
178,14045,4879,942,1,Qualidade muito abaixo do esperado.,2026-05-04T00:00:00,2026-06-05T00:00:00
179,8055,11,5331,5,"Produto excelente, superou minhas expectativas!",2024-11-07T00:00:00,2024-12-03T00:00:00
180,11497,14086,14528,5,Comprei e já quero comprar de novo. Perfeito!,2023-11-23T00:00:00,2025-06-24T00:00:00
181,10399,6082,1640,5,Comprei e já quero comprar de novo. Perfeito!,2023-06-07T00:00:00,2025-05-26T00:00:00
182,14263,7006,13887,5,"Produto conforme descrito, embalagem perfeita.",2023-07-17T00:00:00,2023-11-25T00:00:00
183,7024,7024,1494,4,"Produto conforme descrito, embalagem perfeita.",2026-02-22T00:00:00,2026-03-27T00:00:00
184,7994,7439,10426,2,Qualidade muito abaixo do esperado.,2025-09-24T00:00:00,2025-10-28T00:00:00
185,13369,14485,2669,4,Comprei e já quero comprar de novo. Perfeito!,2024-03-03T00:00:00,2025-05-09T00:00:00
186,1588,3619,1550,5,"Produto excelente, superou minhas expectativas!",2023-05-02T00:00:00,2025-02-18T00:00:00
187,1996,6095,2184,2,"Péssima experiência, não voltarei a comprar.",2025-01-12T00:00:00,2026-01-08T00:00:00
188,6839,4843,9479,3,"Produto ok, dentro do esperado.",2025-03-29T00:00:00,2025-08-01T00:00:00
189,5008,13008,7366,5,"Muito satisfeito com a compra, recomendo!",2026-04-22T00:00:00,2026-04-23T00:00:00
190,2862,1208,12157,4,Entrega rápida e produto de ótima qualidade.,2023-09-19T00:00:00,2025-12-10T00:00:00
191,531,13922,10900,4,Atendimento incrível e produto top!,2023-02-03T00:00:00,2025-06-01T00:00:00
192,12151,4353,11192,5,"Produto conforme descrito, embalagem perfeita.",2025-08-28T00:00:00,2026-03-20T00:00:00
193,9707,6456,6017,3,"Chegou no prazo, produto razoável.",2023-10-23T00:00:00,2025-03-21T00:00:00
194,2594,8852,11431,4,Entrega rápida e produto de ótima qualidade.,2025-12-23T00:00:00,2026-03-19T00:00:00
195,8856,2709,3682,5,Comprei e já quero comprar de novo. Perfeito!,2025-12-01T00:00:00,2026-01-07T00:00:00
196,4365,9652,8325,4,"Ótimo custo-benefício, chegou antes do prazo.",2024-07-14T00:00:00,2024-12-15T00:00:00
197,11364,2299,13341,5,Comprei e já quero comprar de novo. Perfeito!,2023-04-15T00:00:00,2023-12-14T00:00:00
198,13516,10836,4937,3,"Chegou no prazo, produto razoável.",2025-06-13T00:00:00,2025-10-07T00:00:00
199,10755,9864,11898,5,Atendimento incrível e produto top!,2024-10-12T00:00:00,2025-09-19T00:00:00
200,7978,12437,174,4,"Ótimo custo-benefício, chegou antes do prazo.",2024-04-06T00:00:00,2024-07-15T00:00:00
201,6397,12644,4807,5,Atendimento incrível e produto top!,2023-11-16T00:00:00,2024-11-20T00:00:00
202,13196,9119,4822,5,"Muito satisfeito com a compra, recomendo!",2025-04-23T00:00:00,2026-05-28T00:00:00
203,4896,4906,560,5,Atendimento incrível e produto top!,2025-04-03T00:00:00,2025-04-07T00:00:00
204,1662,5131,8478,5,Comprei e já quero comprar de novo. Perfeito!,2023-01-24T00:00:00,2026-06-01T00:00:00
205,14279,14836,7373,5,"Produto conforme descrito, embalagem perfeita.",2023-08-12T00:00:00,2026-05-13T00:00:00
206,1939,3331,8420,5,"Muito satisfeito com a compra, recomendo!",2024-04-08T00:00:00,2026-03-03T00:00:00
207,500,14549,14711,5,Entrega rápida e produto de ótima qualidade.,2026-04-28T00:00:00,2026-05-24T00:00:00
208,1187,5781,2673,5,"Muito satisfeito com a compra, recomendo!",2023-10-13T00:00:00,2024-06-27T00:00:00
209,5804,12895,1979,4,Entrega rápida e produto de ótima qualidade.,2024-03-29T00:00:00,2025-12-15T00:00:00
210,7147,13241,2856,3,"Nada de mais, mas cumpre o que promete.",2025-01-13T00:00:00,2025-04-14T00:00:00
211,1321,14592,8582,5,"Produto excelente, superou minhas expectativas!",2024-12-27T00:00:00,2025-02-04T00:00:00
212,13237,2563,5883,5,"Produto conforme descrito, embalagem perfeita.",2023-08-14T00:00:00,2024-07-14T00:00:00
213,7646,9935,14916,4,Atendimento incrível e produto top!,2026-06-10T00:00:00,2026-06-10T00:00:00
214,2607,9777,1684,1,"Não recomendo, produto diferente do anunciado.",2024-05-06T00:00:00,2026-05-27T00:00:00
215,5428,4548,10960,1,"Não recomendo, produto diferente do anunciado.",2025-08-30T00:00:00,2026-03-24T00:00:00
216,4044,12462,18,4,Comprei e já quero comprar de novo. Perfeito!,2025-01-06T00:00:00,2026-01-20T00:00:00
217,5644,7345,399,5,Comprei e já quero comprar de novo. Perfeito!,2025-08-19T00:00:00,2025-11-01T00:00:00
218,4537,4953,3767,4,Entrega rápida e produto de ótima qualidade.,2023-03-31T00:00:00,2025-08-05T00:00:00
219,9007,12259,9666,4,"Produto excelente, superou minhas expectativas!",2025-08-29T00:00:00,2025-10-05T00:00:00
220,447,223,12361,5,"Ótimo custo-benefício, chegou antes do prazo.",2024-06-15T00:00:00,2026-05-13T00:00:00
221,5375,7089,5284,4,Atendimento incrível e produto top!,2023-04-21T00:00:00,2023-06-13T00:00:00
222,14172,2319,12827,1,"Produto com defeito, decepcionante.",2026-05-01T00:00:00,2026-05-02T00:00:00
223,7842,255,4858,4,Entrega rápida e produto de ótima qualidade.,2023-03-03T00:00:00,2024-06-08T00:00:00
224,3078,2951,12912,4,"Produto conforme descrito, embalagem perfeita.",2024-11-23T00:00:00,2026-01-25T00:00:00
225,6001,7941,265,5,"Ótimo custo-benefício, chegou antes do prazo.",2026-01-24T00:00:00,2026-04-24T00:00:00
226,8939,10588,10828,4,Comprei e já quero comprar de novo. Perfeito!,2024-01-14T00:00:00,2026-01-28T00:00:00
227,4086,5735,11260,2,"Não recomendo, produto diferente do anunciado.",2023-04-17T00:00:00,2024-01-19T00:00:00
228,5584,9785,7509,5,"Produto excelente, superou minhas expectativas!",2025-02-11T00:00:00,2025-08-30T00:00:00
229,8849,485,7977,4,Entrega rápida e produto de ótima qualidade.,2023-06-07T00:00:00,2024-08-09T00:00:00
230,14958,13087,6417,4,"Produto conforme descrito, embalagem perfeita.",2024-07-29T00:00:00,2025-06-16T00:00:00
231,4938,13865,6673,2,"Péssima experiência, não voltarei a comprar.",2024-09-13T00:00:00,2025-02-04T00:00:00
232,13235,190,5311,5,"Muito satisfeito com a compra, recomendo!",2024-02-29T00:00:00,2024-06-25T00:00:00
233,6700,8433,14350,4,"Produto conforme descrito, embalagem perfeita.",2025-11-01T00:00:00,2025-12-17T00:00:00
234,7031,3944,4968,5,Atendimento incrível e produto top!,2023-12-23T00:00:00,2025-09-08T00:00:00
235,1494,8768,14950,5,"Ótimo custo-benefício, chegou antes do prazo.",2025-01-22T00:00:00,2025-08-11T00:00:00
236,12887,13942,5405,4,Comprei e já quero comprar de novo. Perfeito!,2024-06-28T00:00:00,2025-08-18T00:00:00
237,1705,14101,14260,5,Atendimento incrível e produto top!,2024-02-18T00:00:00,2024-03-21T00:00:00
238,9795,13133,3283,3,Qualidade mediana pelo preço cobrado.,2024-06-08T00:00:00,2025-03-09T00:00:00
