id_fornecedor,nome_fornecedor,cnpj,email,telefone,logradouro,cidade,estado,cep,updated_at
24,Machado Lima e Filhos,54.602.837/0001-30,milena07@nascimento.br,0800-977-7554,"Colônia Rezende, 250",Montenegro de Pires,TO,28722-291,2024-04-24T00:00:00
25,Mendonça e Filhos,49.852.170/0001-93,qpires@ribeiro.gov.br,81 2917-6636,Área de da Mata,Oliveira da Prata,RJ,01721-744,2024-03-25T00:00:00
26,Costa,09.365.287/0001-28,jfarias@novais.gov.br,(051) 7601-4768,Rua de das Neves,Santos,AL,37145-464,2024-05-01T00:00:00
27,Nascimento,78.560.293/0001-59,ngoncalves@cavalcanti.gov.br,31 5644-6769,"Área Jesus, 5",Pacheco,SE,18320710,2023-01-27T00:00:00
28,Ferreira Moura S.A.,93.064.281/0001-27,guerrahenrique@moraes.com,(021) 5821-5584,"Quadra Amanda Mendonça, 86",da Paz de Minas,GO,02815695,2024-09-07T00:00:00
29,Campos S.A.,62.950.813/0001-08,igor34@novais.net,31 6798-7660,"Condomínio Cauã Correia, 73",Sales,RR,98236193,2023-10-08T00:00:00
30,Abreu,31.459.826/0001-47,luaracarvalho@pastor.com,(081) 9752 7165,Viaduto Siqueira,da Luz,RN,43340032,2024-11-18T00:00:00
31,Silveira Novaes Ltda.,63.928.145/0001-77,rochaenzo-gabriel@andrade.com,+55 61 6641 0887,"Parque Rebeca Cassiano, 32",Martins,BA,46607-161,2025-07-05T00:00:00
32,Novaes - EI,03.817.296/0001-26,da-conceicaomaria-laura@costela.com.br,(031) 0532 4307,"Residencial de Lopes, 753",Porto das Flores,PI,14824-262,2024-07-14T00:00:00
33,Nogueira - EI,93.247.561/0001-70,pereiralucca@machado.com.br,+55 84 1924 6865,"Largo de Rocha, 1",Fogaça,CE,95336-398,2025-06-05T00:00:00
34,da Rosa Alves - EI,36.108.942/0001-35,jose-miguel46@machado.com.br,+55 (031) 6773-4142,"Aeroporto Ágatha Vieira, 334",Andrade,MG,05409734,2023-12-04T00:00:00
35,Rodrigues Mendes - ME,25.017.486/0001-00,da-costabenjamim@andrade.org,+55 61 2192 7838,"Condomínio Maria Julia Nascimento, 1",Cunha,RR,30986174,2023-09-05T00:00:00
36,Garcia Mendes - ME,15.698.037/0001-02,alana93@viana.br,84 3098 5205,Vale de Almeida,Pastor do Campo,SP,05747-598,2023-09-14T00:00:00
37,Lopes,48.963.712/0001-32,isaque12@macedo.edu.br,(061) 4290-8501,Lagoa de Freitas,Fernandes da Mata,PA,17923267,2026-04-03T00:00:00
38,da Rocha,14.358.096/0001-79,marinabarros@monteiro.com,+55 21 5091 2293,"Parque Maria Liz da Costa, 87",Campos,ES,76837877,2024-12-07T00:00:00
39,Pires - EI,29.831.467/0001-65,da-matamarina@da.br,+55 61 9975 1022,"Praça Sampaio, 38",Alves do Sul,RN,14240191,2023-08-27T00:00:00
40,Vasconcelos,32.650.947/0001-34,eduardoabreu@souza.com,+55 11 8459-8101,"Conjunto de Fogaça, 344",Ramos de Goiás,PE,29726850,2023-04-17T00:00:00
41,Nogueira - EI,65.482.170/0001-03,carvalhovitor-hugo@vasconcelos.net,+55 (061) 7944-6315,"Vila Aragão, 52",Montenegro,PA,35116-167,2024-02-01T00:00:00
42,Vasconcelos,16.374.205/0001-77,maraujo@cardoso.br,0800 948 6044,"Morro Vieira, 24",da Paz da Serra,CE,70267-081,2023-12-19T00:00:00
43,Almeida - EI,61.598.730/0001-20,henrique99@machado.br,(084) 4346-3408,"Praça Luiz Fernando Silva, 871",da Costa,AM,50949801,2023-06-15T00:00:00
44,Dias Cavalcante - ME,80.319.465/0001-49,macedojoao-pedro@casa.gov.br,(061) 0606 3542,"Quadra Mirella Barbosa, 2",Carvalho,AC,67517-748,2024-08-24T00:00:00
45,Santos,71.325.064/0001-00,rabreu@fernandes.com.br,31 4073-2415,"Avenida de Ferreira, 51",Rocha,RO,05070044,2024-10-07T00:00:00
46,Casa Grande,09.583.174/0001-07,joao-vitorcorreia@araujo.gov.br,0800 858 4052,"Colônia Cunha, 6",Siqueira,PB,16487773,2025-04-03T00:00:00
47,Ribeiro e Filhos,34.072.159/0001-33,rezendevitor-gabriel@rocha.org,+55 11 9729 3455,"Jardim de Macedo, 94",Sales,SP,90443823,2025-12-22T00:00:00
48,Camargo Lima S.A.,36.178.950/0001-58,yda-rocha@da.com,(071) 7447-2636,"Via Cavalcante, 2",Brito,TO,09431-403,2023-04-22T00:00:00
49,Sampaio S/A,75.206.398/0001-16,santosmateus@lima.gov.br,+55 (084) 9869-6243,"Sítio de Guerra, 85",Mendes do Amparo,AM,92804-240,2023-12-03T00:00:00
50,Ribeiro S/A,98.034.625/0001-79,lucas59@novaes.com.br,81 5846 8742,"Aeroporto João Felipe da Cunha, 7",Araújo,PI,99185-000,2025-07-21T00:00:00
51,Pacheco Ltda.,28.943.571/0001-89,isaqueporto@santos.com.br,0500 577 9402,"Chácara Maria Cecília Almeida, 12",da Luz,AC,21715-080,2024-11-14T00:00:00
52,da Mota,18.795.402/0001-95,lunnamartins@novais.com,+55 (041) 8632-0089,"Trevo Caroline Gomes, 4",Almeida,RJ,96827-621,2023-05-30T00:00:00
53,da Rocha,49.126.503/0001-05,rochajoao-pedro@lima.com.br,+55 61 7507-3890,"Recanto Andrade, 6",Câmara,AP,74626705,2023-08-11T00:00:00
54,Freitas,10.234.569/0001-75,vianalucca@teixeira.gov.br,+55 (081) 0873-4018,"Núcleo da Mota, 77",da Rocha da Prata,GO,38092670,2024-11-12T00:00:00
55,Cardoso Lopes S.A.,01.584.263/0001-58,britoanna-liz@camargo.net,+55 81 2060 7753,"Ladeira Gustavo Henrique da Mata, 22",Souza de Minas,RO,72504000,2023-06-25T00:00:00
56,Garcia,94.102.758/0001-84,maria-juliafarias@souza.com,41 4864-1276,"Pátio de da Rocha, 91",Mendes do Amparo,RO,34598-418,2024-09-08T00:00:00
57,Silva - ME,86.392.714/0001-08,ana-juliasiqueira@cirino.br,+55 51 9409 5119,"Vale Montenegro, 267",Guerra,SE,93860504,2023-04-01T00:00:00
58,da Conceição Cassiano S.A.,25.037.689/0001-50,siqueirarafaela@farias.com.br,0800 678 3616,Lago Olívia Martins,Rios,DF,92835364,2023-02-25T00:00:00
59,da Cruz,07.834.219/0001-35,caua55@moraes.edu.br,81 3309-7561,"Vila de Vargas, 4",Fogaça,PE,52260679,2024-03-25T00:00:00
60,Andrade - ME,67.408.125/0001-26,bfernandes@borges.org,(021) 1696-7664,"Quadra Maria Rezende, 11",Pimenta,RR,32438-628,2025-11-03T00:00:00
61,Costa,19.652.704/0001-77,pachecogustavo-henrique@ribeiro.com.br,+55 41 0276 0300,"Lago Porto, 36",Mendonça,CE,95727869,2023-01-25T00:00:00
62,Abreu,37.864.192/0001-94,carlos-eduardoalmeida@araujo.br,+55 71 1496 1973,"Fazenda de da Luz, 41",Almeida,RO,05212703,2023-02-18T00:00:00
63,Nunes,04.289.576/0001-71,amanda83@sampaio.edu.br,+55 (051) 1913-4430,"Residencial Moreira, 46",Santos de da Paz,BA,16626672,2025-12-15T00:00:00
64,Marques - EI,54.183.097/0001-44,joao-miguelcavalcanti@da.net,31 3239 0644,"Vereda Dias, 77",Rezende,BA,00051757,2024-10-01T00:00:00
65,Duarte - ME,61.583.049/0001-09,cmacedo@monteiro.com,+55 (041) 2784-7358,"Pátio Rodrigo Cassiano, 5",Lopes de Sampaio,GO,96425176,2025-05-08T00:00:00
66,Vasconcelos,54.938.021/0001-81,marcos-vinicius27@sa.com.br,+55 (084) 0805 7332,"Estrada Clara Nunes, 75",Moura Verde,MG,36796-225,2023-08-12T00:00:00
67,Siqueira,80.436.291/0001-02,wmachado@nascimento.com.br,+55 (011) 0047 8659,"Feira Yan Cardoso, 71",Cavalcanti de Cavalcanti,DF,22411-141,2023-07-22T00:00:00
68,Vasconcelos,47.398.201/0001-52,jade57@lima.net,+55 31 9129-6671,"Conjunto Vasconcelos, 17",da Mota do Galho,DF,13749-539,2024-05-06T00:00:00
69,Siqueira - ME,37.061.425/0001-10,silveiravalentina@campos.br,0800-099-5381,"Quadra de Lopes, 6",Ribeiro de Silveira,AM,85071813,2024-04-08T00:00:00
70,Pacheco da Mota e Filhos,10.387.264/0001-01,pintovinicius@ribeiro.com.br,0300 561 2008,"Praia Porto, 25",Cunha,BA,07361-999,2024-09-09T00:00:00
71,Pastor,58.760.924/0001-76,garciaana-beatriz@gomes.net,+55 (031) 9822-1491,"Condomínio Azevedo, 45",Ramos,MG,35156-377,2026-02-10T00:00:00
72,da Conceição,13.862.950/0001-77,isabel14@pastor.com.br,31 6839-2703,"Sítio Maria Luiza Costela, 6",Ramos,RS,01740-109,2023-10-13T00:00:00
73,Pastor Rios S.A.,78.562.039/0001-90,rodrigo47@abreu.br,81 4725-7730,"Sítio Bento Castro, 630",Peixoto de Novais,PB,75168001,2023-06-19T00:00:00
74,Pires,49.620.753/0001-99,helenapeixoto@sampaio.com,(061) 5787-0746,Viela Ana Vitória Souza,da Mota da Serra,AC,64237-492,2025-09-25T00:00:00
75,Nogueira Nascimento S/A,14.093.758/0001-26,pimentagabriela@moraes.org,0300 974 4900,Setor Abreu,Cavalcanti,DF,82776-366,2024-01-02T00:00:00
76,Fernandes S/A,54.237.160/0001-88,theomoraes@rocha.com,+55 71 1852 1607,"Passarela de Sousa, 63",Santos,MG,60913818,2024-09-29T00:00:00
77,das Neves - EI,53.791.486/0001-90,luana87@pastor.org,+55 (084) 2342 8185,"Rodovia de Brito, 2",Sampaio,TO,26181655,2023-07-14T00:00:00
78,Casa Grande,53.196.042/0001-06,ana-laurafarias@campos.com.br,+55 (021) 0291 7793,Largo Sampaio,Peixoto,DF,77560-692,2024-08-30T00:00:00
79,da Paz da Rosa - ME,68.712.349/0001-90,fariasmaria-cecilia@vasconcelos.com.br,+55 51 7285 3512,"Vila de da Costa, 5",Sousa de Minas,RN,53814-506,2025-01-16T00:00:00
80,Costela,53.167.294/0001-07,isabellapinto@carvalho.com.br,11 6079 7669,Pátio de Castro,Freitas,BA,68472-438,2024-09-02T00:00:00
81,Lima Silva - ME,06.513.294/0001-31,tduarte@aragao.br,+55 71 8313-7574,"Lagoa de Sá, 193",Monteiro do Oeste,AC,29599523,2023-07-22T00:00:00
82,Costela,29.531.870/0001-79,luanleao@moreira.br,(084) 3765-0109,"Pátio Almeida, 68",Martins de Camargo,AL,49177-993,2024-07-19T00:00:00
83,Duarte,64.857.219/0001-94,leaodavi-miguel@da.com,41 8295 3399,"Campo de Abreu, 39",Ramos de Minas,MS,03538903,2025-03-04T00:00:00
84,Fogaça da Conceição Ltda.,57.048.192/0001-23,hduarte@pastor.gov.br,61 6835-1714,"Viaduto de Dias, 45",Correia,MG,31407-449,2024-08-01T00:00:00
85,da Cruz - EI,90.175.683/0001-00,manuela30@porto.br,(061) 0654 9942,"Travessa Azevedo, 2",Pinto da Prata,SE,76270-166,2025-08-05T00:00:00
86,Brito,80.569.274/0001-35,gomesbruna@vasconcelos.gov.br,+55 (061) 7849-4788,"Estação Sarah da Rosa, 8",Costela da Mata,AP,01429033,2023-07-23T00:00:00
87,da Conceição Dias - EI,96.153.274/0001-90,dantecavalcante@pastor.com,+55 21 0657 5192,"Rodovia de Cassiano, 44",Aragão do Oeste,PR,44928-457,2026-03-29T00:00:00
88,Pastor,45.382.176/0001-93,nda-conceicao@cardoso.com,(051) 8673-9148,"Trevo de Castro, 7",Cirino do Amparo,AC,07716158,2024-03-08T00:00:00
89,Câmara Viana S.A.,51.470.869/0001-30,monteiroisaac@pires.br,(081) 1849 5694,"Loteamento Rios, 1",Vieira de Goiás,AP,14950204,2025-12-19T00:00:00
90,Macedo,83.710.429/0001-08,bruna25@lopes.gov.br,+55 41 7872-0518,"Travessa da Cunha, 6",Gomes,RN,30800-916,2026-01-25T00:00:00
91,Almeida,81.903.724/0001-47,anamarques@guerra.net,31 8591-7493,"Travessa da Costa, 54",da Mota,RR,06516109,2024-11-28T00:00:00
92,da Rocha,12.436.958/0001-09,xaparecida@ferreira.com.br,+55 (084) 4286 4031,"Praia Joaquim Castro, 1",Cassiano,CE,47870-331,2023-02-01T00:00:00
93,Macedo,73.248.961/0001-93,iazevedo@rocha.com,+55 (071) 8873-4477,Vila de Alves,Gonçalves do Oeste,MA,16885281,2024-07-22T00:00:00
94,Albuquerque Mendes Ltda.,64.208.913/0001-80,xsa@da.com,(071) 7661-2764,"Esplanada Mendonça, 5",Ribeiro,AM,46521-469,2026-06-01T00:00:00
95,Castro,25.473.968/0001-66,ottosilva@da.com.br,(011) 3200 8834,"Núcleo Milena Ramos, 6",Gomes de Silveira,AL,35532618,2023-01-05T00:00:00
96,Cardoso,76.310.529/0001-73,nascimentocarolina@ribeiro.br,+55 11 7843-8958,"Estrada de Cavalcanti, 6",Ribeiro do Amparo,SC,79395437,2024-03-08T00:00:00
97,Nogueira,92.165.347/0001-02,maite58@fernandes.org,0800-890-0170,"Loteamento Pimenta, 69",Duarte do Sul,RN,96693-442,2024-02-28T00:00:00
98,Lima,60.834.259/0001-60,ninarezende@novaes.edu.br,+55 21 0758 5410,"Passarela de Carvalho, 69",Aragão,RR,99573-644,2025-04-11T00:00:00
99,da Paz,62.379.054/0001-67,enzo-gabriel19@camargo.com.br,(021) 3388 6749,"Esplanada das Neves, 7",Mendonça Grande,AP,91943-510,2026-05-16T00:00:00
100,Silveira Pinto S/A,19.236.847/0001-06,davi-luizalbuquerque@mendonca.com,+55 21 6670-9103,"Praça Aragão, 34",da Conceição do Norte,MS,06908-557,2026-04-07T00:00:00
101,Nunes,31.752.469/0001-00,usampaio@almeida.org,(051) 7420 1480,"Morro Correia, 400",da Rosa das Pedras,PB,02336512,2024-08-02T00:00:00
102,Azevedo,34.168.579/0001-18,maria-flor89@fonseca.br,+55 (021) 9949-9808,Trevo Montenegro,Moraes de Nogueira,SE,55917-439,2023-04-13T00:00:00
103,Pastor S/A,21.548.670/0001-17,jazevedo@nascimento.edu.br,51 6646 8293,"Favela Ana Lívia Lopes, 169",Lima,RN,47201-164,2023-10-10T00:00:00
104,Lima,05.349.862/0001-48,miguelda-costa@montenegro.gov.br,0800 251 8993,"Viaduto Moreira, 46",da Mata do Amparo,PI,24826349,2025-02-08T00:00:00
105,Barros,47.159.638/0001-33,moraesalice@garcia.br,+55 (084) 9722 1269,Trevo de Sampaio,da Cruz de Peixoto,MG,68104486,2025-03-24T00:00:00
106,Cirino S/A,21.973.605/0001-39,jfarias@duarte.gov.br,(051) 3809 0738,"Parque Sales, 86",Câmara,AC,24359-193,2024-06-04T00:00:00
107,Novais,21.543.690/0001-03,leonardo66@alves.com,61 5596-3827,"Alameda da Paz, 642",Moraes das Flores,AP,06264-231,2025-07-28T00:00:00
108,Sales Pacheco - EI,52.386.179/0001-60,ana-beatrizpacheco@cirino.edu.br,+55 (011) 4276-2648,"Residencial Davi Casa Grande, 17",Barros do Norte,PR,33348-420,2026-04-06T00:00:00
109,Monteiro - ME,87.130.964/0001-32,hda-cunha@costela.br,+55 (011) 5495-0486,"Quadra Carvalho, 35",da Rocha das Pedras,ES,05453353,2024-10-15T00:00:00
110,Casa Grande,84.792.365/0001-96,luiginogueira@duarte.gov.br,84 0801 5476,Praça Vitória da Cunha,Santos,MA,06552-592,2024-02-16T00:00:00
111,Costela,31.965.702/0001-33,maria-fernandaribeiro@da.edu.br,0900-333-2440,"Condomínio Gonçalves, 829",Araújo,MT,17104655,2025-07-11T00:00:00
112,Nogueira - ME,48.639.017/0001-10,yasmin20@leao.br,+55 31 5683 3024,Parque Costa,Machado,DF,71914452,2025-02-17T00:00:00
113,Abreu Ltda.,81.924.375/0001-40,davilopes@moura.br,0500-436-8508,"Vila Mendes, 61",da Mata,MS,14387223,2023-04-18T00:00:00
114,das Neves S/A,04.581.639/0001-69,evelyn41@cassiano.com,+55 31 9277-3277,"Estação de Moreira, 6",Abreu Alegre,AP,02408866,2023-10-04T00:00:00
115,Jesus Sales Ltda.,62.731.854/0001-03,nicolaspastor@duarte.com.br,71 1095 6620,Colônia das Neves,Nascimento,AC,71234069,2025-01-22T00:00:00
116,Cassiano Marques Ltda.,80.429.357/0001-29,breno03@da.br,+55 31 3363-2056,Viela Ana Clara Novais,Novaes,PR,19738-008,2023-08-30T00:00:00
117,Nunes,42.693.508/0001-62,abreueloa@brito.edu.br,11 8233 9273,"Avenida Melo, 60",Duarte dos Dourados,PI,87116-822,2024-05-05T00:00:00
118,Leão S.A.,31.069.857/0001-91,arthur19@barbosa.org,0300 261 9917,"Viela Henry Guerra, 99",Sá,MA,62483073,2023-10-18T00:00:00
119,Barbosa,52.971.680/0001-94,garciamarcelo@sales.gov.br,+55 51 0839 6502,"Rodovia Ramos, 58",Cassiano,BA,05335-684,2023-01-14T00:00:00
120,Azevedo,25.971.863/0001-37,carolina32@fernandes.com,+55 (071) 4232 0156,"Área de Cunha, 9",Camargo,MS,79305831,2025-01-14T00:00:00
121,Sousa,19.267.380/0001-53,da-costamarcelo@cirino.edu.br,+55 (031) 8401-8271,"Ladeira Pinto, 90",Monteiro,BA,64702-339,2025-12-22T00:00:00
122,Silva Fonseca S.A.,37.251.489/0001-84,nascimentoalicia@silva.com.br,+55 71 4458 7846,"Quadra Barros, 77",da Mota,ES,88901-254,2023-02-08T00:00:00
123,Casa Grande,04.326.579/0001-38,hramos@porto.net,41 1583 0689,"Trevo da Cruz, 105",Cassiano,PE,74425024,2025-06-05T00:00:00
124,Monteiro,08.653.972/0001-97,britomathias@cirino.com,0300 965 8830,"Praça da Mata, 94",Peixoto,ES,22134-929,2025-07-08T00:00:00
125,Jesus - ME,18.063.954/0001-09,zoecavalcanti@vieira.edu.br,+55 (084) 7692 6755,"Estrada de Marques, 77",Campos do Norte,MG,48155-212,2025-03-12T00:00:00
126,Garcia,65.273.019/0001-57,nvieira@aragao.org,61 2137 1009,"Travessa Macedo, 756",Pastor,TO,88482-246,2026-01-02T00:00:00
127,Caldeira da Mata - ME,61.953.472/0001-53,davi-miguelda-rosa@andrade.com,(061) 8905 7569,"Largo Freitas, 40",Pires da Prata,PE,59309-171,2024-08-18T00:00:00
128,Costa,69.574.183/0001-55,isabel25@montenegro.com,+55 (021) 3824-2751,Setor Moura,Jesus,RS,51419-874,2026-06-01T00:00:00
129,Correia,09.845.723/0001-66,anthony86@goncalves.gov.br,0900 192 4402,Feira André Fernandes,Porto,RN,58458-147,2024-08-30T00:00:00
130,Moura,71.925.684/0001-80,montenegroclarice@pereira.com,61 8448-9321,"Viaduto Beatriz Sales, 9",Carvalho Verde,RS,29300-647,2023-06-20T00:00:00
131,Nunes S.A.,27.109.358/0001-03,heloisa01@da.gov.br,+55 (051) 7409 3686,"Feira Rios, 3",Correia,GO,07231179,2025-10-07T00:00:00
132,Martins,24.356.078/0001-01,hmontenegro@nascimento.com.br,31 1106-6534,Parque Dias,Cunha Grande,SC,79187-199,2024-12-22T00:00:00
133,Carvalho S/A,68.234.107/0001-38,mouraclara@souza.edu.br,+55 (084) 0004 2845,"Alameda Brenda Cavalcanti, 437",Nogueira do Campo,PB,12659-019,2023-09-15T00:00:00
134,da Luz Caldeira - ME,86.512.794/0001-98,antonioramos@santos.br,(021) 8316-3886,"Núcleo de Ferreira, 51",Cavalcanti de Nascimento,PR,55520435,2024-04-27T00:00:00
135,Pastor,72.451.380/0001-91,maria-isis46@rocha.com,0500 946 2068,Rua Davi Lucca Cunha,Campos,MS,83313-617,2023-09-23T00:00:00
136,da Cunha,14.637.259/0001-52,santosnina@souza.org,(041) 0971 4890,"Loteamento de Jesus, 56",Marques do Campo,RS,08204-688,2024-11-02T00:00:00
137,Gomes Moura - EI,76.041.398/0001-76,yandrade@moreira.com.br,41 5474-0174,"Sítio de Moraes, 4",Souza,BA,56789325,2026-02-23T00:00:00
138,Câmara,79.468.215/0001-91,rodrigo45@moreira.com.br,+55 21 4788 8003,"Viela Benicio Lopes, 19",Pires,SP,50177856,2026-01-08T00:00:00
139,Ribeiro,83.074.296/0001-12,joao-pedrorodrigues@alves.gov.br,+55 (011) 6040-2915,"Condomínio de Ribeiro, 67",Novais,SC,75325-282,2023-09-10T00:00:00
140,Correia,20.784.139/0001-80,benicio00@macedo.com.br,(081) 6908 4753,"Alameda de Viana, 71",Campos Alegre,RS,74022844,2024-07-03T00:00:00
141,Jesus,10.794.826/0001-23,anthonydias@sales.com,0300-548-5963,"Via Larissa Sampaio, 23",Montenegro,PE,81226471,2023-03-21T00:00:00
142,Campos S.A.,83.620.549/0001-06,luanpastor@da.br,+55 41 8951-9546,"Chácara Juliana Fonseca, 5",Montenegro,MS,83731-789,2024-01-24T00:00:00
143,Caldeira e Filhos,03.192.678/0001-01,kamilly37@viana.gov.br,(021) 3481-3497,"Rodovia de Moraes, 310",Caldeira,DF,24966625,2025-03-11T00:00:00
144,Mendes Barbosa S/A,54.763.081/0001-00,lavinia39@pacheco.com,31 9325-9061,Morro Sampaio,Vasconcelos,PE,14557200,2026-01-24T00:00:00
145,da Conceição,57.021.364/0001-75,riosgael@cunha.br,+55 41 9480-2929,"Via Joana Andrade, 99",Vasconcelos,TO,66017575,2024-09-20T00:00:00
146,Vieira,28.931.706/0001-96,mariahmelo@castro.com.br,+55 21 6269 1390,Travessa de Novais,Garcia,RS,29953660,2025-08-22T00:00:00
147,Rios,60.957.834/0001-11,matteo25@sales.br,+55 (011) 0889-7926,"Morro de Correia, 96",Santos,BA,20082-469,2024-01-03T00:00:00
148,Nogueira,41.209.638/0001-14,mlima@moraes.com,0300 281 1990,"Trecho Brito, 40",Moreira Grande,GO,55628-622,2023-09-21T00:00:00
149,Fonseca,27.459.130/0001-43,joao-guilherme96@costa.net,+55 11 1037-7457,Ladeira de Azevedo,Caldeira,RJ,57081-332,2023-02-21T00:00:00
150,Montenegro,14.572.690/0001-68,ferreiraluiz-otavio@machado.br,0800-444-8458,"Trecho de Pimenta, 37",Albuquerque,SP,27090728,2023-06-07T00:00:00
151,Cardoso Gomes - EI,75.369.840/0001-25,enrico85@cavalcante.com.br,(081) 3997 2765,Alameda da Costa,Viana,MT,93983797,2023-12-16T00:00:00
152,Rodrigues,41.307.982/0001-46,hcasa-grande@campos.br,+55 (084) 9638 5771,"Trevo de Viana, 1",Campos da Prata,ES,34342105,2024-07-16T00:00:00
153,Silveira Jesus e Filhos,28.467.105/0001-74,antonyborges@da.com.br,(031) 1108 1001,"Aeroporto de Nunes, 30",Azevedo do Sul,AP,54311804,2024-10-12T00:00:00
154,Costa e Filhos,05.146.923/0001-70,caue18@pereira.gov.br,0800 402 1031,"Passarela Pietra Gomes, 64",Sampaio das Pedras,GO,41346-324,2023-10-27T00:00:00
155,Rocha S/A,24.873.016/0001-77,vianaolivia@borges.gov.br,+55 71 0971 3378,"Condomínio Moraes, 93",Camargo,AM,02860-181,2024-06-14T00:00:00
156,Viana,79.054.281/0001-15,leo04@oliveira.br,+55 21 8390 7137,"Viela de da Luz, 73",da Paz dos Dourados,MA,92197-763,2023-09-29T00:00:00
157,Moura Martins S/A,54.371.290/0001-09,maria-isis14@gomes.edu.br,(031) 1184 6806,"Chácara de Jesus, 11",Costela da Prata,PR,56308-643,2023-06-05T00:00:00
158,Costela S/A,84.750.193/0001-98,igor29@cassiano.com.br,(084) 3994 2571,"Feira Cavalcante, 4",Melo,PE,56924-056,2023-03-22T00:00:00
159,Fogaça Siqueira e Filhos,68.154.392/0001-87,melomanuella@pimenta.br,+55 41 8546 5383,"Morro Luana Freitas, 436",Moreira,PR,66823-007,2023-04-01T00:00:00
160,Andrade Ltda.,91.302.567/0001-78,xcostela@andrade.br,11 4801-3538,"Área de da Rosa, 48",Mendes,MG,07944481,2025-08-25T00:00:00
